subject_id	subject_label	object_id	object_label	verdict	new_candidates	only_in_oak	only_in_ols	notes
MIM:DL-Histidine_Monohydrochloride_Monohydrate	DL-Histidine monohydrochloride monohydrate	NCIT:C87334	Histidine Monohydrochloride Monohydrate	UNKNOWN_TERM				neither OAK nor OLS resolves NCIT:C87334
MIM:DL-Histidine_Monohydrochloride_Monohydrate	DL-Histidine monohydrochloride monohydrate	cas:123333-71-1	DL-Histidine monohydrochloride monohydrate	UNKNOWN_TERM				neither OAK nor OLS resolves cas:123333-71-1
MIM:DL-Histidine_Monohydrochloride_Monohydrate	DL-Histidine monohydrochloride monohydrate	kgmicrobe.compound:dl-histidine_monohydrochloride_monohydrate	DL-Histidine monohydrochloride monohydrate	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:dl-histidine_monohydrochloride_monohydrate
MIM:DL-Isocitric_Acid_Trisodium_Salt_Hydrate	DL-Isocitric acid trisodium salt hydrate	CHEBI:172950	Isocitric acid, DL-	SYNONYM_ENRICH	DL-Isocitric acid trisodium salt hydrate			
MIM:DL-glyceraldehyde	DL-glyceraldehyde	CHEBI:5445	glyceraldehyde	CONFIRMED				
MIM:DNA_From_Salmon	DNA from Salmon	cas:438545-06-3	DNA from Salmon	UNKNOWN_TERM				neither OAK nor OLS resolves cas:438545-06-3
MIM:D_Trehalose_dihydrate	D-Trehalose dihydrate	CHEBI:232797	trehalose dihydrate	SYNONYM_ENRICH	D-Trehalose dihydrate			
MIM:Daidzein	Daidzein	CHEBI:28197	daidzein	CONFIRMED				
MIM:Danomycin	Danomycin	kgmicrobe.compound:danomycin	Danomycin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:danomycin
MIM:Danubomycin	Danubomycin	kgmicrobe.compound:danubomycin	Danubomycin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:danubomycin
MIM:Daptomycin	Daptomycin	CHEBI:600103	daptomycin	CONFIRMED				
MIM:Decanoic_Acid	Decanoic acid	CHEBI:30813	decanoic acid	CONFIRMED				
MIM:Decaplanin	Decaplanin	mesh:C076135	decaplanin	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C076135
MIM:Decyl_Alcohol	decyl alcohol	CHEBI:28903	decan-1-ol	CONFIRMED				
MIM:Delamanid	Delamanid	CHEBI:134742	delamanid	CONFIRMED				
MIM:Delta-Decalactone	Delta-Decalactone	CHEBI:87327	6-pentyloxan-2-one	CONFIRMED				
MIM:Delta-Dodecalactone	Delta-Dodecalactone	CHEBI:171817	xi-5-Dodecanolide	CONFIRMED				
MIM:Delta-Nonalactone	Delta-Nonalactone	CHEBI:171747	6-Butyltetrahydro-2H-pyran-2-one	SYNONYM_ENRICH	Delta-Nonalactone			
MIM:Delta-Undecalactone	Delta-Undecalactone	CHEBI:171846	6-Hexyltetrahydro-2H-pyran-2-one	CONFIRMED				
MIM:Deoxycholic_Acid	Deoxycholic acid	CHEBI:28834	deoxycholic acid	CONFIRMED				
MIM:Deoxyribonucleic_Acid_From_Herring_Sperm	Deoxyribonucleic acid from herring sperm	CHEBI:16991	deoxyribonucleic acid	SYNONYM_ENRICH	Deoxyribonucleic acid from herring sperm			
MIM:Dermcidin	Dermcidin	mesh:C442243	dermcidin	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C442243
MIM:Destomycin	Destomycin	kgmicrobe.compound:destomycin	Destomycin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:destomycin
MIM:Desulfovibrio_Trace_Elements	Desulfovibrio trace elements	mesh:D014131	Trace Elements	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:D014131
MIM:Deuterated_Glucose	deuterated glucose	NCIT:C200498	Deuterated Glucose	UNKNOWN_TERM				neither OAK nor OLS resolves NCIT:C200498
MIM:Deuterated_Glucose	deuterated glucose	cas:201417-01-8	deuterated glucose	UNKNOWN_TERM				neither OAK nor OLS resolves cas:201417-01-8
