file	identifier	preferred_term	mapping_status	ontology_id	ontology_label	review_verdict	reviewer_notes
Cytochrome.yaml	CHEBI:4056	Cytochrome	PENDING_REVIEW	CHEBI:4056	cytochrome	PENDING	
D-fucose.yaml	CHEBI:28847	D-fucose	PENDING_REVIEW	CHEBI:28847	D-fucose	PENDING	
D-galactonate.yaml	CHEBI:12931	D-galactonate	PENDING_REVIEW	CHEBI:12931	D-galactonate	PENDING	
D-gluconate.yaml	CHEBI:18391	D-gluconate	PENDING_REVIEW	CHEBI:18391	D-gluconate	PENDING	
D-glucosamine.yaml	CHEBI:17315	D-glucosamine	PENDING_REVIEW	CHEBI:17315	D-glucosamine	PENDING	
D-glucose_6-phosphate.yaml	CHEBI:14314	D-glucose 6-phosphate	PENDING_REVIEW	CHEBI:14314	D-glucose 6-phosphate	PENDING	
D-glucuronate.yaml	CHEBI:15748	D-glucuronate	PENDING_REVIEW	CHEBI:15748	D-glucuronate	PENDING	
D-histidine.yaml	CHEBI:27947	D-histidine	PENDING_REVIEW	CHEBI:27947	D-histidine	PENDING	
D-ornithine.yaml	CHEBI:16176	D-ornithine	PENDING_REVIEW	CHEBI:16176	D-ornithine	PENDING	
D-psicose.yaml	CHEBI:27605	D-psicose	PENDING_REVIEW	CHEBI:27605	D-psicose	PENDING	
D-rhamnose.yaml	CHEBI:63150	D-rhamnose	PENDING_REVIEW	CHEBI:63150	D-rhamnose	PENDING	
D-sorbose.yaml	CHEBI:17317	D-sorbose	PENDING_REVIEW	CHEBI:17317	D-sorbose	PENDING	
D-tagatose.yaml	CHEBI:16443	D-tagatose	PENDING_REVIEW	CHEBI:16443	D-tagatose	PENDING	
D-threonine.yaml	CHEBI:16398	D-threonine	PENDING_REVIEW	CHEBI:16398	D-threonine	PENDING	
D-valine.yaml	CHEBI:27477	D-valine	PENDING_REVIEW	CHEBI:27477	D-valine	PENDING	
Daunorubicin.yaml	CHEBI:41977	Daunorubicin	PENDING_REVIEW	CHEBI:41977	daunorubicin	PENDING	
Decanoate.yaml	CHEBI:27689	Decanoate	PENDING_REVIEW	CHEBI:27689	decanoate	PENDING	
Decoyinine.yaml	CHEBI:191094	Decoyinine	PENDING_REVIEW	CHEBI:191094	Decoyinine	PENDING	
Desferrioxamine.yaml	CHEBI:50453	Desferrioxamine	PENDING_REVIEW	CHEBI:50453	desferrioxamine	PENDING	
Digitonin.yaml	CHEBI:27729	Digitonin	PENDING_REVIEW	CHEBI:27729	digitonin	PENDING	
Dihydrostreptomycin.yaml	CHEBI:38291	Dihydrostreptomycin	PENDING_REVIEW	CHEBI:38291	dihydrostreptomycin	PENDING	
Dimethyl_Disulfide.yaml	CHEBI:4608	Dimethyl Disulfide	PENDING_REVIEW	CHEBI:4608	dimethyl disulfide	PENDING	
