identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0169	data/ingredients/unmapped/BC_Lignin_Sorghum.yaml	BC Lignin Sorghum	SIMPLE_CHEMICAL	BC Lignin Sorghum	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0114	data/ingredients/unmapped/BL_Agar.yaml	BL Agar	SIMPLE_CHEMICAL	BL Agar	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0592	data/ingredients/unmapped/Bacteriocin_ISK-1.yaml	bacteriocin ISK-1	SIMPLE_CHEMICAL	bacteriocin ISK-1|Bacteriocin ISK-1	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0330	data/ingredients/unmapped/Bacto_Bitone.yaml	Bacto Bitone	UNKNOWN	Bacto Bitone	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0332	data/ingredients/unmapped/Bacto_Heart_Infusion_Broth.yaml	Bacto Heart Infusion Broth	UNKNOWN	Bacto Heart Infusion Broth	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0333	data/ingredients/unmapped/Bacto_M_TGE_Broth.yaml	Bacto m TGE broth	SIMPLE_CHEMICAL	Bacto m TGE broth|Bacto M TGE Broth	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0115	data/ingredients/unmapped/Bacto_Middlebrook_7H10_Agar.yaml	Bacto Middlebrook 7H10 agar	UNKNOWN	Bacto Middlebrook 7H10 agar|Bacto Middlebrook 7H10 Agar	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0334	data/ingredients/unmapped/Bacto_Panton.yaml	Bacto Panton	UNKNOWN	Bacto Panton	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0096	data/ingredients/unmapped/Barley_Grains.yaml	Barley grains	UNKNOWN	Barley grains|Barley Grains|Barley grains(add after dH2O)	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0104	data/ingredients/unmapped/Barley_Grains_Autoclaved.yaml	Barley grains autoclaved	UNKNOWN	Barley grains autoclaved|Barley Grains Autoclaved	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0336	data/ingredients/unmapped/Basal_Mineral_NaCl_Medium.yaml	Basal mineral NaCl medium	COMPLEX_MIXTURE	Basal mineral NaCl medium|Basal Mineral NaCl Medium	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
