bucket	label	occurrences	recipes	folded	mim_identifier	mim_label	culturemech_reason	verdict	curie	term_label	matched_query	holder
RESIDUAL	Propane-1-ol	2	2	propane 1 ol			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:28831	propan-1-ol	Propane-1-ol	Propan-1-ol
RESIDUAL	Propanoate	2	2	propanoate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:17272	propionate	propanoate	Propionate
RESIDUAL	Rye-bran	2	2	rye bran			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03311582	rye bran	rye bran	
RESIDUAL	Sludge fluid	2	2	sludge fluid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000521	sludge fluid	Sludge fluid	
RESIDUAL	Sodium Pantothenate	2	2	sodium pantothenate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	NCIT:C220851	Sodium Pantothenate	Sodium Pantothenate	
RESIDUAL	Sorbitan Monooleate	2	2	sorbitan monooleate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	NCIT:C75654	Sorbitan Monooleate	Sorbitan Monooleate	
RESIDUAL	Tea	2	2	tea			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03315081	tea food product	tea	
RESIDUAL	Titanium chloride	2	2	titanium chloride			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:231499	titanium tetrachloride	titanium chloride	
RESIDUAL	Zinc	2	2	zinc			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:27363|CHEBI:30185	zinc atom	zinc	
RESIDUAL	chocolate agar	2	2	chocolate agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000591	chocolate agar	chocolate agar	
RESIDUAL	dTMP	2	2	dtmp			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:17013|CHEBI:63528	dTMP(2-)	dTMP	
RESIDUAL	p-Hydroxybenzyl alcohol	2	2	p hydroxybenzyl alcohol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:67410	p-hydroxybenzyl alcohol	p-hydroxybenzyl alcohol	
RESIDUAL	2,4-Dichlorophenoxyacetic acid	1	1	2 4 dichlorophenoxyacetic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28854	2,4-D	2,4-Dichlorophenoxyacetic acid	
RESIDUAL	2-Aminoethylphosphonate	1	1	2 aminoethylphosphonate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:15573	(2-aminoethyl)phosphonic acid	2-Aminoethylphosphonate	
RESIDUAL	2-Chlorobenzoic acid	1	1	2 chlorobenzoic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:30793	2-chlorobenzoic acid	2-Chlorobenzoic acid	
RESIDUAL	2-Nitrophenol	1	1	2 nitrophenol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:16260	2-nitrophenol	2-Nitrophenol	
RESIDUAL	3,4-Dihydroxyphenylacetate	1	1	3 4 dihydroxyphenylacetate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17612	(3,4-dihydroxyphenyl)acetate	3,4-dihydroxyphenylacetate	
RESIDUAL	3-Aminophenol	1	1	3 aminophenol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28924	3-aminophenol	3-Aminophenol	
RESIDUAL	3-Chloro-4-hydroxyphenylacetic acid	1	1	3 chloro 4 hydroxyphenylacetic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:47106	(3-chloro-4-hydroxyphenyl)acetic acid	3-chloro-4-hydroxyphenylacetic acid	
RESIDUAL	3-Chloroacrylic acid	1	1	3 chloroacrylic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:19982	3-chloroacrylic acid	3-chloroacrylic acid	
RESIDUAL	3-Hydroxypropanal	1	1	3 hydroxypropanal			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17871	3-hydroxypropanal	3-Hydroxypropanal	
RESIDUAL	Apple Juice	1	1	apple juice			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:00001059	apple juice	apple juice	
RESIDUAL	Artificial Seawater	1	1	artificial seawater			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001715	artificial seawater	Artificial Seawater	
RESIDUAL	Artificial seawater (see Medium No. 736 )	1	1	artificial seawater			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001715	artificial seawater	artificial seawater	
RESIDUAL	Benzothiazole	1	1	benzothiazole			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:45993	benzothiazole	benzothiazole	
RESIDUAL	Blood	1	1	blood			label not found in pinned MIM index and no usable local identity	NEW_RECORD	UBERON:0000178	blood	blood	
RESIDUAL	Bromophenol blue	1	1	bromophenol blue			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:59424	bromophenol blue	bromophenol blue	
RESIDUAL	Bromophenol blue (0.5% in 0.2N KOH)	1	1	bromophenol blue			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:59424	bromophenol blue	bromophenol blue	
RESIDUAL	CM-Cellulose	1	1	cm cellulose			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	MICRO:0002714|MICRO:0002778	carboxymethylcellulose assimilation assay	CM-Cellulose	
RESIDUAL	Ca3(PO4)2	1	1	ca3 po4 2			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:9679	tricalcium bis(phosphate)	Ca3(PO4)2	Tricalcium phosphate
RESIDUAL	Calcium lactate	1	1	calcium lactate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03413044	calcium lactate	calcium lactate	
RESIDUAL	Cellulose powder	1	1	cellulose powder			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03310367	cellulose powder	cellulose powder	
RESIDUAL	Cobalt sulfate heptahydrate	1	1	cobalt sulfate heptahydrate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:91244	cobalt(2+) sulfate heptahydrate	cobalt sulfate heptahydrate	CoSO4 x 7 H2O
RESIDUAL	Culture supernatant (see below)	1	1	culture supernatant			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	BTO:0002217|BTO:0002233	culture fluid	culture supernatant	
RESIDUAL	Cyanuric acid	1	1	cyanuric acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:38028	cyanuric acid	Cyanuric acid	
RESIDUAL	D-Ribose 5-phosphate	1	1	d ribose 5 phosphate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:17797|CHEBI:52742	aldehydo-D-ribose 5-phosphate	D-Ribose 5-phosphate	
RESIDUAL	Deoxyribose	1	1	deoxyribose			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:28816	2-deoxy-D-ribose	Deoxyribose	2-Deoxy-D-Ribose
RESIDUAL	Diammonium tartrate	1	1	diammonium tartrate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:63075	diammonium L-tartrate	diammonium tartrate	
RESIDUAL	Ethyl octanoate	1	1	ethyl octanoate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:87426	ethyl octanoate	ethyl octanoate	
RESIDUAL	Eugon agar (BD-Difco)	1	1	eugon agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001358	Eugon agar	eugon agar	
RESIDUAL	Fe-Citrate	1	1	fe citrate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	MICRO:0000735|MICRO:0001190	citric acid assimilation assay	fe citrate	
RESIDUAL	Fe3+	1	1	fe3			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:29034	iron(3+)	Fe3+	Ferric Iron
RESIDUAL	GDP	1	1	gdp			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:17552|CHEBI:58189	GDP	GDP	
RESIDUAL	Heart Infusion Agar (BD 211065)	1	1	heart infusion agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000567	heart infusion agar	heart infusion agar	
RESIDUAL	Heart Infusion Agar (Difco)	1	1	heart infusion agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000567	heart infusion agar	heart infusion agar	
RESIDUAL	Heart infusion agar (Eiken)	1	1	heart infusion agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000567	heart infusion agar	heart infusion agar	
RESIDUAL	Hemin solution (see below)	1	1	hemin solution			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001598	hemin solution	hemin solution	
RESIDUAL	Hemoglobin	1	1	hemoglobin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:5656	deoxyhemoglobin	Hemoglobin	
RESIDUAL	IPTG	1	1	iptg			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:61448	isopropyl beta-D-thiogalactopyranoside	IPTG	
RESIDUAL	MH agar	1	1	mh agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001328	MH agar	MH agar	
RESIDUAL	MRS agar (Oxoid)	1	1	mrs agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000554	MRS agar	mrs agar	
RESIDUAL	Magnesium Sulfate (anhydrous)	1	1	magnesium sulfate anhydrous			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:32599	magnesium sulfate	magnesium sulfate anhydrous	MgSO4 x 6 H2O
RESIDUAL	Magnesium sulphate	1	1	magnesium sulphate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:32599	magnesium sulfate	magnesium sulphate	MgSO4 x 6 H2O
RESIDUAL	Metals ''44'' (see below)	1	1	metals 44			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000456	trace metals 44	metals 44	
RESIDUAL	Methylphosphonic acid	1	1	methylphosphonic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:45129	methylphosphonic acid	methylphosphonic acid	
RESIDUAL	Meticillin	1	1	meticillin			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:6827	methicillin	meticillin	Methicillin
RESIDUAL	Micronutrients	1	1	micronutrients			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:27027	micronutrient	micronutrients	
RESIDUAL	Minerals	1	1	minerals			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:46662	mineral	minerals	
RESIDUAL	Mycobactin J	1	1	mycobactin j			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:205364	Mycobactin J	Mycobactin J	
RESIDUAL	NH4OH	1	1	nh4oh			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:18219	ammonium hydroxide	NH4OH	
RESIDUAL	Nicotine (Fluka)	1	1	nicotine			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:18723	nicotine	nicotine	
RESIDUAL	O-Phospho-L-serine	1	1	o phospho l serine			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:15811	O-phospho-L-serine	O-Phospho-L-serine	
RESIDUAL	Pancreatic Digest of Gelatin (Hardy C6540)	1	1	pancreatic digest of gelatin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000466	pancreatic digest of gelatin	pancreatic digest of gelatin	
RESIDUAL	Phenyl acetate	1	1	phenyl acetate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:8082	phenyl acetate	Phenyl acetate	
RESIDUAL	Quinoline	1	1	quinoline			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17362	quinoline	Quinoline	
RESIDUAL	Reducing Agent	1	1	reducing agent			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:63247	reducing agent	reducing agent	
RESIDUAL	Retinol	1	1	retinol			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:17336|CHEBI:50211	all-trans-retinol	retinol	
RESIDUAL	Rye--bran	1	1	rye bran			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03311582	rye bran	rye bran	
RESIDUAL	Salicylate	1	1	salicylate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:30762	salicylate	Salicylate	
RESIDUAL	Skim milk (BD-Difco)	1	1	skim milk			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	FOODON:03301484	skim milk food product	skim milk	Skimmed milk
RESIDUAL	Skim milk powder	1	1	skim milk powder			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001241	skim milk powder	Skim milk powder	
RESIDUAL	Sludge fluid (see below)	1	1	sludge fluid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000521	sludge fluid	sludge fluid	
RESIDUAL	Sterile	1	1	sterile			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	NCIT:C27010|NCIT:C63385	Sterile	Sterile	
RESIDUAL	Table wine	1	1	table wine			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:00004062	Vino de Mesa	table wine	
RESIDUAL	Thallium acetate	1	1	thallium acetate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:75192	thallium(I) acetate	Thallium acetate	Thallium(I) acetate
RESIDUAL	Titanium citrate	1	1	titanium citrate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	MICRO:0000735|MICRO:0001190	citric acid assimilation assay	Titanium citrate	
RESIDUAL	Trypsin	1	1	trypsin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:9765	Trypsin	Trypsin	
RESIDUAL	Trypsin (Sigma--Aldrich)	1	1	trypsin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000673	trypsin assay	trypsin	
RESIDUAL	Vitamin D3	1	1	vitamin d3			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28940	calciol	Vitamin D3	
RESIDUAL	Vitamin K	1	1	vitamin k			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28384	vitamin K	Vitamin K	
RESIDUAL	Vitamins (ATCC)	1	1	vitamins			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:33229	vitamin (role)	vitamins	
RESIDUAL	Yeastolate (Difco)	1	1	yeastolate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000522	Yeastolate	yeastolate	
RESIDUAL	"\""Metals 44\"""	1	1	metals 44			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000456	trace metals 44	metals 44	
RESIDUAL	alpha,alpha-Trehalose	1	1	alpha alpha trehalose			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:16551	alpha,alpha-trehalose	alpha,alpha-Trehalose	
RESIDUAL	alpha-Tocopherol	1	1	alpha tocopherol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:18145	(R,R,R)-alpha-tocopherol	alpha-Tocopherol	
RESIDUAL	azlocillin	1	1	azlocillin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:2956	azlocillin	azlocillin	
RESIDUAL	brain–heart infusion agar	1	1	brain heart infusion agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000566	brain heart infusion agar	brain heart infusion agar	
RESIDUAL	farm soil	1	1	farm soil			label not found in pinned MIM index and no usable local identity	NEW_RECORD	ENVO:00005749	farm soil	farm soil	
RESIDUAL	flucloxacillin	1	1	flucloxacillin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:5098	flucloxacillin	flucloxacillin	
RESIDUAL	horse blood	1	1	horse blood			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001234	horse blood	horse blood	
RESIDUAL	lactic acid	1	1	lactic acid			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	MICRO:0000963|MICRO:0002945	lactic acid assimilation assay	lactic acid	
RESIDUAL	liver powder	1	1	liver powder			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03000441	liver powder supplement	liver powder	
RESIDUAL	mannan (Saccharomyces cerevisiae)	1	1	mannan			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:149779|CHEBI:28808	mannan	mannan	
RESIDUAL	methylcobalamin	1	1	methylcobalamin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28115	methylcobalamin	methylcobalamin	
RESIDUAL	rice straw	1	1	rice straw			label not found in pinned MIM index and no usable local identity	NEW_RECORD	ENVO:00003870	rice straw	rice straw	
RESIDUAL	testosterone	1	1	testosterone			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17347	testosterone	testosterone	
RESIDUAL	thiamine monophosphate	1	1	thiamine monophosphate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:9533	thiamine(1+) monophosphate	thiamine monophosphate	
RESIDUAL	washed agar	1	1	washed agar			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001723	washed agar	washed agar	
RESIDUAL	“Metals 44” (see below)	1	1	metals 44			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000456	trace metals 44	metals 44	
