# source=ingredient_occurrences.tsv culturemech_rev=8c79a66fec edges=191616 recipes=15254 mim_records=800
mim_identifier	recipe_id	occurrences
CHEBI:115156	CultureMech:011985	1
CHEBI:115156	CultureMech:012039	1
CHEBI:115156	CultureMech:012367	1
CHEBI:115156	CultureMech:012453	1
CHEBI:115156	CultureMech:012580	1
CHEBI:115156	CultureMech:012868	1
CHEBI:115156	CultureMech:013162	1
CHEBI:115156	CultureMech:013363	1
CHEBI:115156	CultureMech:013642	1
CHEBI:115156	CultureMech:013645	1
CHEBI:115156	CultureMech:013670	1
CHEBI:115156	CultureMech:013742	1
CHEBI:115156	CultureMech:013749	1
CHEBI:115156	CultureMech:013850	1
CHEBI:115156	CultureMech:013947	1
CHEBI:115156	CultureMech:014038	1
CHEBI:115156	CultureMech:014278	1
CHEBI:115156	CultureMech:014299	1
CHEBI:115156	CultureMech:014301	1
CHEBI:115156	CultureMech:014332	1
CHEBI:115156	CultureMech:014333	1
CHEBI:115156	CultureMech:014391	1
CHEBI:115156	CultureMech:014580	1
CHEBI:115156	CultureMech:015053	1
CHEBI:115156	CultureMech:015209	1
CHEBI:115156	CultureMech:015877	1
CHEBI:115197	CultureMech:001419	1
CHEBI:115197	CultureMech:014699	1
CHEBI:116509	CultureMech:007292	1
CHEBI:12936	CultureMech:001714	1
CHEBI:12936	CultureMech:006065	1
CHEBI:12936	CultureMech:006066	1
CHEBI:12936	CultureMech:007161	1
CHEBI:12936	CultureMech:007175	1
CHEBI:12936	CultureMech:008900	1
CHEBI:12936	CultureMech:010753	1
CHEBI:131361	CultureMech:000140	2
CHEBI:131361	CultureMech:000254	1
CHEBI:131361	CultureMech:000259	1
CHEBI:131361	CultureMech:000260	1
CHEBI:131361	CultureMech:000262	1
CHEBI:131361	CultureMech:000263	1
CHEBI:131361	CultureMech:000266	1
CHEBI:131361	CultureMech:000267	1
CHEBI:131361	CultureMech:000268	1
CHEBI:131361	CultureMech:000269	1
CHEBI:131361	CultureMech:000270	1
CHEBI:131361	CultureMech:000278	1
CHEBI:131361	CultureMech:000279	1
CHEBI:131361	CultureMech:000285	1
CHEBI:131361	CultureMech:000286	1
CHEBI:131361	CultureMech:000288	1
CHEBI:131361	CultureMech:000291	1
CHEBI:131361	CultureMech:000303	1
CHEBI:131361	CultureMech:000416	1
CHEBI:131361	CultureMech:000420	1
CHEBI:131361	CultureMech:000421	1
CHEBI:131361	CultureMech:000426	1
CHEBI:131361	CultureMech:000427	1
CHEBI:131361	CultureMech:000428	1
CHEBI:131361	CultureMech:000430	1
CHEBI:131361	CultureMech:000431	1
CHEBI:131361	CultureMech:000435	1
CHEBI:131361	CultureMech:000444	1
CHEBI:131361	CultureMech:000446	1
CHEBI:131361	CultureMech:000459	1
CHEBI:131361	CultureMech:000466	1
CHEBI:131361	CultureMech:000479	1
CHEBI:131361	CultureMech:000481	1
CHEBI:131361	CultureMech:000482	1
CHEBI:131361	CultureMech:000484	1
CHEBI:131361	CultureMech:000485	1
CHEBI:131361	CultureMech:000486	1
CHEBI:131361	CultureMech:000491	1
CHEBI:131361	CultureMech:000495	1
CHEBI:131361	CultureMech:000505	1
CHEBI:131361	CultureMech:000517	1
CHEBI:131361	CultureMech:000520	1
CHEBI:131361	CultureMech:000528	1
CHEBI:131361	CultureMech:000533	1
CHEBI:131361	CultureMech:000534	1
CHEBI:131361	CultureMech:000535	1
CHEBI:131361	CultureMech:000537	1
CHEBI:131361	CultureMech:000546	1
CHEBI:131361	CultureMech:000548	1
CHEBI:131361	CultureMech:000550	1
CHEBI:131361	CultureMech:000552	1
CHEBI:131361	CultureMech:000558	1
CHEBI:131361	CultureMech:000567	1
CHEBI:131361	CultureMech:000587	1
CHEBI:131361	CultureMech:000603	1
CHEBI:131361	CultureMech:000604	1
CHEBI:131361	CultureMech:000607	1
CHEBI:131361	CultureMech:000608	1
CHEBI:131361	CultureMech:000645	1
CHEBI:131361	CultureMech:000650	1
CHEBI:131361	CultureMech:000652	1
CHEBI:131361	CultureMech:000656	1
CHEBI:131361	CultureMech:000658	1
CHEBI:131361	CultureMech:000665	1
CHEBI:131361	CultureMech:000666	1
CHEBI:131361	CultureMech:000667	1
CHEBI:131361	CultureMech:000668	1
CHEBI:131361	CultureMech:000669	1
CHEBI:131361	CultureMech:000682	1
CHEBI:131361	CultureMech:000691	1
CHEBI:131361	CultureMech:000693	1
CHEBI:131361	CultureMech:000695	1
CHEBI:131361	CultureMech:000696	1
CHEBI:131361	CultureMech:000702	1
CHEBI:131361	CultureMech:000708	1
CHEBI:131361	CultureMech:000709	1
CHEBI:131361	CultureMech:000710	1
CHEBI:131361	CultureMech:000711	1
CHEBI:131361	CultureMech:000715	1
CHEBI:131361	CultureMech:000722	1
CHEBI:131361	CultureMech:000725	1
CHEBI:131361	CultureMech:000726	1
CHEBI:131361	CultureMech:000727	1
CHEBI:131361	CultureMech:000733	1
CHEBI:131361	CultureMech:000735	1
CHEBI:131361	CultureMech:000736	1
CHEBI:131361	CultureMech:000738	1
CHEBI:131361	CultureMech:000739	1
CHEBI:131361	CultureMech:000740	1
CHEBI:131361	CultureMech:000741	1
CHEBI:131361	CultureMech:000753	1
CHEBI:131361	CultureMech:000755	1
CHEBI:131361	CultureMech:000756	1
CHEBI:131361	CultureMech:000759	1
CHEBI:131361	CultureMech:000764	1
CHEBI:131361	CultureMech:000766	1
CHEBI:131361	CultureMech:000786	1
CHEBI:131361	CultureMech:000798	1
CHEBI:131361	CultureMech:000818	1
CHEBI:131361	CultureMech:000819	1
CHEBI:131361	CultureMech:000820	1
CHEBI:131361	CultureMech:000822	1
CHEBI:131361	CultureMech:000834	1
CHEBI:131361	CultureMech:000836	1
CHEBI:131361	CultureMech:000837	1
CHEBI:131361	CultureMech:000842	1
CHEBI:131361	CultureMech:000843	1
CHEBI:131361	CultureMech:000851	1
CHEBI:131361	CultureMech:000852	1
CHEBI:131361	CultureMech:000858	1
CHEBI:131361	CultureMech:000872	1
CHEBI:131361	CultureMech:000874	1
CHEBI:131361	CultureMech:000881	1
CHEBI:131361	CultureMech:000882	1
CHEBI:131361	CultureMech:000883	1
CHEBI:131361	CultureMech:000909	1
