subject_id	subject_label	object_id	object_label	object_prefix	predicate_id	classification	repair_confidence	recommended_action	evidence	ingredient_yaml	yaml_identifier	yaml_cas_rn	yaml_ontology_id	yaml_mapping_quality	ingredient_type	kg_microbe_node_id	companion_non_identity_count	companion_registry_count	review_notes	external_ols_status	external_ols_label	external_ols_label_match
MIM:Butyricin_7423	Butyricin 7423	mesh:C010427	butyricin 7423	mesh	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Butyricin_7423.yaml	mesh:C010427		mesh:C010427	EXACT_MATCH	SINGLE_INGREDIENT		0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	butyricin 7423	true
MIM:Cadmium_Acetate_Dihydrate	Cadmium acetate dihydrate	cas:5743-04-4	Cadmium acetate dihydrate	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Cadmium_Acetate_Dihydrate.yaml	cas:5743-04-4	5743-04-4	CHEBI:232796	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Cadmium_Acetate_Dihydrate	Cadmium acetate dihydrate	kgmicrobe.compound:cadmium_acetate_dihydrate	Cadmium acetate dihydrate	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/Cadmium_Acetate_Dihydrate.yaml	cas:5743-04-4	5743-04-4	CHEBI:232796	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Caffeine_Hydrobromide	Caffeine Hydrobromide	cas:5743-18-0	Caffeine Hydrobromide	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Caffeine_Hydrobromide.yaml	cas:5743-18-0	5743-18-0	cas:5743-18-0	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Calprotectin	Calprotectin	NCIT:C105971	Calprotectin	NCIT	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Calprotectin.yaml	NCIT:C105971		NCIT:C105971	EXACT_MATCH	SINGLE_INGREDIENT		0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	Calprotectin	true
MIM:Camphomycin	Camphomycin	kgmicrobe.compound:camphomycin	Camphomycin	kgmicrobe.compound	skos:closeMatch	expected_registry_identifier	none	keep pending curator promotion to external ontology term	kg-microbe placeholder retained as local registry identifier until an exact external ontology identity is curated.	data/ingredients/mapped/Camphomycin.yaml	kgmicrobe.compound:camphomycin		kgmicrobe.compound:camphomycin	PLACEHOLDER	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Canarius	Canarius	kgmicrobe.compound:canarius	Canarius	kgmicrobe.compound	skos:closeMatch	expected_registry_identifier	none	keep pending curator promotion to external ontology term	kg-microbe placeholder retained as local registry identifier until an exact external ontology identity is curated.	data/ingredients/mapped/Canarius.yaml	kgmicrobe.compound:canarius		kgmicrobe.compound:canarius	PLACEHOLDER	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Candimycin	Candimycin	kgmicrobe.compound:candimycin	Candimycin	kgmicrobe.compound	skos:closeMatch	expected_registry_identifier	none	keep pending curator promotion to external ontology term	kg-microbe placeholder retained as local registry identifier until an exact external ontology identity is curated.	data/ingredients/mapped/Candimycin.yaml	kgmicrobe.compound:candimycin		kgmicrobe.compound:candimycin	PLACEHOLDER	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Candiplanecin	Candiplanecin	mesh:C033379	candiplanecin	mesh	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Candiplanecin.yaml	mesh:C033379		mesh:C033379	EXACT_MATCH	SINGLE_INGREDIENT		0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	candiplanecin	true
MIM:Carcinomycin	Carcinomycin	kgmicrobe.compound:carcinomycin	Carcinomycin	kgmicrobe.compound	skos:closeMatch	expected_registry_identifier	none	keep pending curator promotion to external ontology term	kg-microbe placeholder retained as local registry identifier until an exact external ontology identity is curated.	data/ingredients/mapped/Carcinomycin.yaml	kgmicrobe.compound:carcinomycin		kgmicrobe.compound:carcinomycin	PLACEHOLDER	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Carnitine_~28Dl~29_Hydrochloride	Carnitine (Dl) Hydrochloride	cas:461-06-3	Carnitine (Dl) Hydrochloride	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.								1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Carnitine_~28Dl~29_Hydrochloride	Carnitine (Dl) Hydrochloride	kgmicrobe.compound:carnitine_~28dl~29_hydrochloride	Carnitine (Dl) Hydrochloride	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.								1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Carrot	Carrot	NCIT:C72000	Carrot	NCIT	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Carrot.yaml	NCIT:C72000		NCIT:C72000	EXACT_MATCH	SINGLE_INGREDIENT		0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	Carrot	true
MIM:Caryomycin	Caryomycin	kgmicrobe.compound:caryomycin	Caryomycin	kgmicrobe.compound	skos:closeMatch	expected_registry_identifier	none	keep pending curator promotion to external ontology term	kg-microbe placeholder retained as local registry identifier until an exact external ontology identity is curated.	data/ingredients/mapped/Caryomycin.yaml	kgmicrobe.compound:caryomycin		kgmicrobe.compound:caryomycin	PLACEHOLDER	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
