subject_id	subject_label	object_id	object_label	new_candidates	ingredient_yaml	review_status	missing_candidates_after_review	review_notes
MIM:5-Keto-D-Gluconic_Acid_Potassium_Salt	5-Keto-D-Gluconic Acid potassium salt	CHEBI:26218	potassium salt	5-Keto-D-Gluconic Acid potassium salt	data/ingredients/mapped/5-Keto-D-Gluconic_Acid_Potassium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:5-aminovaleric_Acid	5-Aminovaleric acid	CHEBI:15887	5-aminopentanoic acid	4-aminovalerate|4-aminovaleric acid	data/ingredients/mapped/5-aminovaleric_Acid.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:6-O-sialyllactose_Sodium_Salt	6'-O-sialyllactose sodium salt	CHEBI:26714	sodium salt	6'-O-sialyllactose sodium salt	data/ingredients/mapped/6-O-sialyllactose_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:6-Pentyl-2H-pyran-2-one	6-Pentyl-2H-pyran-2-one	CHEBI:66729	6-n-Pentyl-alpha-pyrone	6-Pentyl-2H-pyran-2-one	data/ingredients/mapped/6-Pentyl-2H-pyran-2-one.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:6-methoxy-2~283H~29-benzoxazolone	6-methoxy-2(3H)-benzoxazolone	CHEBI:173101	Coixol	6-methoxy-2(3H)-benzoxazolone	data/ingredients/mapped/6-methoxy-2(3H)-benzoxazolone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:72-Dihydroxyflavone	7,2'-Dihydroxyflavone	CHEBI:94071	7-hydroxy-2-(2-hydroxyphenyl)-1-benzopyran-4-one	7,2'-Dihydroxyflavone	data/ingredients/mapped/72-Dihydroxyflavone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:8-hydroxy-nitroquinoline	8-hydroxy-nitroquinoline	CHEBI:67121	nitroxoline	8-hydroxy-nitroquinoline	data/ingredients/mapped/8-hydroxy-nitroquinoline.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:A-Cyclodextrin	a-Cyclodextrin	CHEBI:40585	alpha-cyclodextrin	a-Cyclodextrin	data/ingredients/mapped/A-Cyclodextrin.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Acetate	Acetate	CHEBI:30089	acetate	aerobic catabolization: acetate|anaerobic catabolization: acetate|carbon source: acetate	data/ingredients/mapped/Acetate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Acetate_~28carbon_Source~29	Acetate (carbon source)	CHEBI:30089	acetate	Acetate (carbon source)	data/ingredients/mapped/Acetate_(carbon_Source).yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Actinomycin_A	Actinomycin A	CHEBI:15369	actinomycin	Actinomycin A	data/ingredients/mapped/Actinomycin_A.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Adenosine_35-Cyclic_Monophosphate	Adenosine 3,5-Cyclic Monophosphate	CHEBI:17489	3',5'-cyclic AMP	Adenosine 3,5-Cyclic Monophosphate	data/ingredients/mapped/Adenosine_35-Cyclic_Monophosphate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Agar	Agar	CHEBI:2509	agar	( Noble)|(alternative)|(for solid medium)|(for solid medium, alternative)|(if appropriate)|(Agar|Bacteriological Agar|( modified)	data/ingredients/mapped/Agar.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Agarose	Agarose	CHEBI:2511	agarose	(for solid medium, alternative)	data/ingredients/mapped/Agarose.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Air-dried_Garden_Soil	air-dried garden soil	ENVO:00002263	garden soil	air-dried garden soil	data/ingredients/mapped/Air-dried_Garden_Soil.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Alanosine	alanosine	CHEBI:221124	L-alanosine	alanosine	data/ingredients/mapped/Alanosine.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Alk_So42	AlK(SO4)2	CHEBI:86463	potassium aluminium sulfate	Na SiO .9H O|ZnSO .7H O|KAl(SO4)2	data/ingredients/mapped/Alk_So42.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
