old_curie	current_curie	first_seen	retired_at	chain_length
MIM:Poly~28L-lysine~29_Polymer	MIM:Poly_L-lysine_Polymer	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Potassium_~28poly~29sulfide	MIM:Potassium_Polysulfide	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Proteose_peptone_no._2	MIM:Proteose_Peptone_No_2	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Pustulan_~28b-1-6_Glucan~29	MIM:Pustulan_B-1-6_Glucan	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Rumen_fluid	MIM:Rumen_Fluid	2026-08-21	2026-08-21	2
MIM:S-Isocorydine_~28~29	MIM:S-isocorydine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Salts_solution	MIM:Salts_Solution	2026-08-21	2026-08-21	2
MIM:Sea_salts	MIM:Sea_Salts	2026-08-21	2026-08-21	2
MIM:Skirrow_supplement	MIM:Skirrow_Supplement	2026-08-21	2026-08-21	2
MIM:Sn-Glycerol_3-phosphate_Bis~28cyclohexylammonium~29_Salt	MIM:Sn-glycerol_3-phosphate_Bis_Cyclohexylammonium_Salt	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sodium	MIM:Sodium~28~29	2026-08-21	2026-08-21	2
MIM:Sodium_Citrate_2	MIM:Sodium_Citrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sodium_Metasilicate_~28silicate_For_Diatom_Frustules~29	MIM:Sodium_Metasilicate_Silicate_For_Diatom_Frustules	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sodium_Nitrate_~28070_M_Stock~29	MIM:Sodium_Nitrate_070_M_Stock	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sodium_Nitrate_~28nitrogen_Source~29	MIM:Sodium_Nitrate_Nitrogen_Source	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sodium_Phosphate_Monobasic_~28phosphorus_Source~29	MIM:Sodium_Phosphate_Monobasic_Phosphorus_Source	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Spir_solution	MIM:Spir_Solution	2026-08-21	2026-08-21	2
MIM:Steric_solution	MIM:Steric_Solution	2026-08-21	2026-08-21	2
MIM:Sugarcane_Straw_~28lignocellulose_Substrate~29	MIM:Sugarcane_Straw_Lignocellulose_Substrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Sulfur-free_DL_minerals	MIM:Sulfur-free_DL_Minerals	2026-08-21	2026-08-21	2
MIM:Sulfur_free_mineral_mix	MIM:Sulfur_Free_Mineral_Mix	2026-08-21	2026-08-21	2
MIM:Synthetic_Sea_Salts_sss	MIM:Synthetic_Sea_Salts_~28sss~29	2026-08-21	2026-08-21	2
