identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count,synonyms
CHEBI:3498,CHEBI:3498,Cefotaxime sodium salt,MAPPED,cefotaxime sodium,CHEBI,CAS_RN_LOOKUP,0,0,"sodium 3-(acetoxymethyl)-7beta-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-3,4-didehydrocepham-4-carboxylate"
CHEBI:3501,CHEBI:3501,Cefoxitin sodium salt,MAPPED,Cefoxitin sodium,CHEBI,CAS_RN_LOOKUP,0,0,
kgmicrobe.compound:cefsulodin_sodium_salt_hydrate,CHEBI:31380,Cefsulodin sodium salt hydrate,MAPPED,Cefsulodin sodium,CHEBI,CLOSE_MATCH,0,0,
cas:120618-65-7,CHEBI:3508,Ceftazidime hydrate,MAPPED,ceftazidime,CHEBI,CLOSE_MATCH,0,0,
CHEBI:3514,CHEBI:3514,Ceftriaxone disodium salt hemi(heptahydrate),MAPPED,Ceftriaxone disodium salt hemiheptahydrate,CHEBI,CAS_RN_LOOKUP,0,0,
BTO:0004304,BTO:0004304,Cell lysate,MAPPED,cell lysate,BTO,EXACT_MATCH,2,2,
CHEBI:17057,CHEBI:17057,Cellobiose,MAPPED,cellobiose,CHEBI,EXACT_MATCH,273,273,1-beta-D-Glucopyranosyl-4-D-glucopyranose|4-(beta-D-glucosido)-D-glucose|4-O-beta-D-glucopyranosyl-D-glucopyranose|4-beta-D-glucopyranosyl-D-glucopyranose|D-(+)-cellobiose|D-Cellobiose|D-celiobiose|D-cellobiose (cellobiose)|D-glucosyl-beta-(1-4)-D-glucose|beta-D-glucopyranosyl-(1->4)-D-glucopyranose|cellose
CHEBI:49533,CHEBI:49533,Cellohexaose,MAPPED,beta-D-cellohexaose,CHEBI,CAS_RN_LOOKUP,0,0,Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc(b1-4)b-Glc|beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranose
CHEBI:62976,CHEBI:62976,Cellopentaose,MAPPED,cellopentaose,CHEBI,EXACT_MATCH,0,0,beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucopyranose
kgmicrobe.compound:cellostatin,kgmicrobe.compound:cellostatin,Cellostatin,MAPPED,Cellostatin,kgmicrobe.compound,PLACEHOLDER,0,0,
CHEBI:62974,CHEBI:62974,Cellotetraose,MAPPED,cellotetraose,CHEBI,EXACT_MATCH,0,0,beta-D-glucopyranosyl-(1->4)-beta-D-glucoopyranosyl-(1->4)-beta-D-glucoopyranosyl-(1->4)-D-glucoopyranose
CHEBI:3528,CHEBI:3528,Cellotriose,MAPPED,cellotriose,CHEBI,EXACT_MATCH,0,0,beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucopyranose|beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucose
CHEBI:18246,CHEBI:18246,Cellulose,MAPPED,(1->4)-beta-D-glucan,CHEBI,EXACT_MATCH,45,45,"Optional ingredient|Optional ingredient (Avicel SIGMA)|Optional ingredient (Lens tissue or MN 301)|Optional ingredient (MN 301)|(1,4-beta-D-Glucosyl)n|(1,4-beta-D-Glucosyl)n+1|(1,4-beta-D-Glucosyl)n-1|(1,4-beta-D-glucosyl)(n)|(1->4)-beta-D-glucan|(1->4)-beta-D-glucopyranan|Filter paper (cellulose substrate)|Cellulose (Avicel or MN 300)"
CHEBI:3534,CHEBI:3534,Cephalexin,MAPPED,cephalexin,CHEBI,EXACT_MATCH,0,0,"7beta-[(2R)-2-amino-2-phenylacetamido]-3-methyl-3,4-didehydrocepham-4-carboxylic acid"
CHEBI:3542,CHEBI:3542,Cephalothin sodium salt,MAPPED,cephalothin sodium,CHEBI,CAS_RN_LOOKUP,0,0,"sodium (6R,7R)-3-(acetoxymethyl)-8-oxo-7-[(2-thienylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate"
kgmicrobe.compound:cephamycin_a,CHEBI:55429,Cephamycin A,MAPPED,cephamycin,CHEBI,NARROW_MATCH,0,0,
CHEBI:3547,CHEBI:3547,Cephradine,MAPPED,cephradine,CHEBI,EXACT_MATCH,0,0,"7beta-[(2R)-2-(cyclohexa-1,4-dienyl)-2-phenylacetamido]-3-methyl-3,4-didehydrocepham-4-carboxylic acid"
CHEBI:171741,CHEBI:171741,Cerulenin,MAPPED,cerulenin,CHEBI,EXACT_MATCH,0,0,"(2R,3S)-3-[(4E,7E)-nona-4,7-dienoyl]oxirane-2-carboxamide"
CHEBI:63039,CHEBI:63039,Cesium chloride,MAPPED,caesium chloride,CHEBI,CAS_RN_LOOKUP,0,0,
NCIT:C98044,NCIT:C98044,Cetocycline,MAPPED,Cetocycline,NCIT,EXACT_MATCH,0,0,
cas:9004-95-9,mesh:D002592,Cetomacrogol 1000,MAPPED,Cetomacrogol,MESH,NARROW_MATCH,0,0,Polyethylene glycol hexadecyl ether
CHEBI:3567,CHEBI:3567,Cetrimonium bromide,MAPPED,cetyltrimethylammonium bromide,CHEBI,CAS_RN_LOOKUP,0,0,"N,N,N-trimethylhexadecan-1-aminium bromide"
CHEBI:86202,CHEBI:86202,Chalcopyrite,MAPPED,chalcopyrite,CHEBI,EXACT_MATCH,3,3,CuFeS2|Cupric ferrous sulfide
kgmicrobe.compound:champamycin_b,kgmicrobe.compound:champamycin_b,Champamycin B,MAPPED,Champamycin B,kgmicrobe.compound,PLACEHOLDER,0,0,
kgmicrobe.compound:chaninin,kgmicrobe.compound:chaninin,Chaninin,MAPPED,Chaninin,kgmicrobe.compound,PLACEHOLDER,0,0,
CHEBI:91090,CHEBI:91090,Charcoal,MAPPED,charcoal,CHEBI,EXACT_MATCH,5,5,
CHEBI:27939,CHEBI:27939,Chaulmoogric acid,MAPPED,chaulmoogric acid,CHEBI,EXACT_MATCH,0,0,13-cyclopent-2-en-1-yltridecanoic acid
CHEBI:16755,CHEBI:16755,Chenodeoxycholic acid,MAPPED,chenodeoxycholic acid,CHEBI,EXACT_MATCH,0,0,"3alpha,7alpha-dihydroxy-5beta-cholan-24-oic acid"
CHEBI:17029,CHEBI:17029,Chitin,MAPPED,chitin,CHEBI,EXACT_MATCH,12,12,(1->4)-2-acetamido-2-deoxy-beta-D-glucan
CHEBI:16261,CHEBI:16261,Chitosan,MAPPED,chitosan,CHEBI,EXACT_MATCH,3,3,"(1->4)-2-amino-2-deoxy-beta-D-glucan|Deacetylchitin|[4)-beta-D-GlcpN(1->]n|beta-1,4-Poly-D-glucosamine|hydrolysis: cationic chitosan|poliglusam"
CHEBI:17698,CHEBI:17698,Chloramphenicol,MAPPED,chloramphenicol,CHEBI,EXACT_MATCH,9,9,"2,2-dichloro-N-[(1R,2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide|(-)-Chloramphenicol|chloramphenicol (if needed)"
kgmicrobe.compound:chlorhexidine_diacetate_salt_hydrate,CHEBI:81711,Chlorhexidine diacetate salt hydrate,MAPPED,chlorhexidine acetate,CHEBI,CLOSE_MATCH,0,0,"N,N''''-hexane-1,6-diylbis[N'-(4-chlorophenyl)triimidodicarbonic diamide] acetate (1:2)"
CHEBI:16112,CHEBI:16112,Chlorogenic acid,MAPPED,chlorogenic acid,CHEBI,EXACT_MATCH,0,0,"edit(1S,3R,4R,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexane-1-carboxylic acid"
kgmicrobe.compound:chlororaphin,kgmicrobe.compound:chlororaphin,Chlororaphin,MAPPED,Chlororaphin,kgmicrobe.compound,PLACEHOLDER,0,0,
CHEBI:3649,CHEBI:3649,Chlorpromazine hydrochloride,MAPPED,chlorpromazine hydrochloride,CHEBI,EXACT_MATCH,0,0,"3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine hydrochloride"
CHEBI:16359,CHEBI:16359,Cholic acid,MAPPED,cholic acid,CHEBI,EXACT_MATCH,0,0,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oic acid"
cas:14586-35-7,cas:14586-35-7,Cholin acetate,MAPPED,Cholin acetate,CAS,FALLBACK_REGISTRY,0,0,
CHEBI:15354,CHEBI:15354,Choline,MAPPED,choline,CHEBI,EXACT_MATCH,4,4,"2-hydroxy-N,N,N-trimethylethanaminium|Bilineurine|CHOLINE ION|N,N,N-trimethylethanol-ammonium|N-trimethylethanolamine|trimethylethanolamine"
CHEBI:133341,CHEBI:133341,Choline chloride,MAPPED,choline chloride,CHEBI,EXACT_MATCH,48,48,"(2-Hydroxyethyl)trimethylammonium chloride|(beta-Hydroxyethyl)trimethylammonium chloride|2-Hydroxy-N,N,N,-trimethylethanaminium chloride|2-hydroxy-N,N,N-trimethylethanaminium chloride|Bilineurin chloride|Biocolina|Biocoline|Chloride de choline|Chlorure de choline|Choline chlorhydrate|Choline hydrochloride|Cholini chloridum|Cholinium chloride|Cloruro de colina|Hepacholine|Lipotril|Luridin chloride|Paresan|Trimethyl(2-hydroxyethyl)ammonium chloride"
cas:83846-92-8,cas:83846-92-8,Cholinium dihydrogen phosphate,MAPPED,Cholinium dihydrogen phosphate,CAS,FALLBACK_REGISTRY,0,0,
mesh:C000655964,mesh:C000655964,Cholinium lysinate,MAPPED,cholinium lysinate,MESH,EXACT_MATCH,0,0,Choline Lysine
