identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count
CHEBI:30351,CHEBI:30351,"2,2'-Dipyridyl",MAPPED,"2,2'-bipyridine",CHEBI,EXACT_MATCH,0,0
cas:10222-01-2,cas:10222-01-2,"2,2-dibromo-2-cyanoacetamide",MAPPED,"2,2-dibromo-2-cyanoacetamide",CAS,FALLBACK_REGISTRY,0,0
CHEBI:131383,CHEBI:131383,"2,2,4,4,6,8,8-Heptamethylnonane",MAPPED,"2,2,4,4,6,8,8-heptamethylnonane",CHEBI,EXACT_MATCH,10,10
CHEBI:62064,CHEBI:62064,"2,3-butanediol",MAPPED,"butane-2,3-diol",CHEBI,EXACT_MATCH,3,3
CHEBI:78019,CHEBI:78019,"2,3,5-Triphenyltetrazolium chloride",MAPPED,"2,3,5-triphenyltetrazolium chloride",CHEBI,EXACT_MATCH,10,10
CHEBI:18026,CHEBI:18026,"2,3-dihydroxybenzoic acid",MAPPED,"2,3-dihydroxybenzoic acid",CHEBI,CAS_RN_LOOKUP,2,2
CHEBI:42017,CHEBI:42017,"2,4-Dinitrophenol",MAPPED,"2,4-dinitrophenol",CHEBI,EXACT_MATCH,0,0
cas:6342-92-3,cas:6342-92-3,"2',5'-Dihydroxy-4-Methoxychalcone",MAPPED,"2',5'-Dihydroxy-4-Methoxychalcone",CAS,FALLBACK_REGISTRY,0,0
CHEBI:28997,CHEBI:28997,2'-Deoxyinosine,MAPPED,2'-deoxyinosine,CHEBI,CAS_RN_LOOKUP,4,4
CHEBI:16450,CHEBI:16450,2'-Deoxyuridine,MAPPED,2'-deoxyuridine,CHEBI,CAS_RN_LOOKUP,4,4
CHEBI:91084,CHEBI:91084,3-Aminopropionitrile Fumarate,MAPPED,beta-aminopropionitrile hemifumarate,CHEBI,EXACT_MATCH,0,0
CHEBI:53678,CHEBI:53678,3-Chloro-L-tyrosine,MAPPED,3-chloro-L-tyrosine,CHEBI,EXACT_MATCH,0,0
CHEBI:132983,CHEBI:132983,3-Hydroxydecanoic acid,MAPPED,3-hydroxydecanoic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:37035,CHEBI:37035,3-Hydroxyhexanoic acid,MAPPED,3-hydroxyhexanoic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:16510,CHEBI:16510,3-Hydroxypropionate,MAPPED,3-hydroxypropionate,CHEBI,EXACT_MATCH,0,0
CHEBI:16530,CHEBI:16530,3-Methyl-2-Oxobutanoic Acid,MAPPED,3-methyl-2-oxobutanoic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:189431,CHEBI:189431,3-Methyl-2-oxobutanoic acid sodium salt,MAPPED,Sodium-3-methyl-2-oxobutyrate,CHEBI,EXACT_MATCH,0,0
CHEBI:18404,CHEBI:18404,3-Methylcatechol,MAPPED,3-methylcatechol,CHEBI,EXACT_MATCH,0,0
CHEBI:68566,CHEBI:68566,3-Methylglutaric acid,MAPPED,3-methylglutaric acid,CHEBI,EXACT_MATCH,0,0
