label,match_type,identifier,preferred_term,ontology_id,mapping_status
"(1R,2S,3S,4R,6S)-4,6-diamino-3-[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyloxy]-2-hydroxycyclohexyl 2-amino-2,7-dideoxy-D-glycero-alpha-D-gluco-heptopyranoside",synonym,CHEBI:42768,Geneticin G418,CHEBI:42768,MAPPED
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexan-1-ol",synonym,CHEBI:15409,Levomenthol,CHEBI:15409,MAPPED
"(1R,3R,5S,8S,9R,12S,13R,14R)-1-hydroxy-13-methyl-14-(prop-1-en-2-yl)-4,7,10-trioxapentacyclo[6.4.1.1(9,12).0(3,5).0(5,13)]tetradecane-6,11-dione",synonym,CHEBI:8206,Picrotoxinin,CHEBI:8206,MAPPED
"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(3-amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",synonym,CHEBI:2682,Amphotericin B,CHEBI:2682,MAPPED
"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",synonym,CHEBI:10357,Caryophyllene [T(-)],CHEBI:10357,MAPPED
"(1R,5S)-1,2,3,4,5,6-hexahydro-8H-1,5-methanopyrido[1,2-a][1,5]diazocin-8-one",synonym,CHEBI:4055,Cytisine,CHEBI:4055,MAPPED
"(1S)-1,5-anhydro-1-[4,5-dihydroxy-2-(hydroxymethyl)-10-oxo-9,10-dihydroanthracen-9-yl]-D-glucitol",synonym,CHEBI:73222,Aloin,CHEBI:73222,MAPPED
"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxotetrahydro-2H-pyran-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate",synonym,CHEBI:40303,Lovastatin,CHEBI:40303,MAPPED
"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxotetrahydro-2H-pyran-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2,2-dimethylbutanoate",synonym,CHEBI:9150,Simvastatin,CHEBI:9150,MAPPED
(2)-d-fructose,synonym,CHEBI:15824,D-Fructose,CHEBI:15824,MAPPED
(2)-D-lactose,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
(2)-D-lyxose,preferred_term,CHEBI:62318,(2)-D-lyxose,CHEBI:62318,MAPPED
"(2,1-beta-D-Fructosyl)n",synonym,CHEBI:15443,Inulin,CHEBI:15443,MAPPED
"(2,5-Dioxo-4-imidazolidinyl)urea",synonym,CHEBI:15676,Allantoin,CHEBI:15676,MAPPED
(2->1)-beta-D-fructofuranan,synonym,CHEBI:15443,Inulin,CHEBI:15443,MAPPED
(2->6)-beta-D-fructofuranan,synonym,CHEBI:16703,Levan - from Erwinia herbicola,CHEBI:16703,MAPPED
(2-Hydroxyethyl)trimethylammonium chloride,synonym,CHEBI:133341,Choline chloride,CHEBI:133341,MAPPED
"(2E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one",synonym,CHEBI:310312,Isoliquiritigenin,CHEBI:310312,MAPPED
(2E)-2-butenedioic acid,synonym,CHEBI:18012,Fumaric acid,CHEBI:18012,MAPPED
(2E)-2-butenoate,synonym,CHEBI:35899,Na-crotonate,CHEBI:35899,MAPPED
(2E)-2-butenoic acid,synonym,CHEBI:41131,Crotonic acid,CHEBI:41131,MAPPED
(2E)-2-methylbut-2-enoic acid,synonym,CHEBI:9592,Trans-2-methyl-2-butenoic acid,CHEBI:9592,MAPPED
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",synonym,CHEBI:17447,Geraniol,CHEBI:17447,MAPPED
"(2E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enal",synonym,CHEBI:27949,sinapinaldehyde,CHEBI:27949,MAPPED
(2E)-3-(4-hydroxyphenyl)-1-phenylprop-2-en-1-one,synonym,CHEBI:34423,4-hydroxychalcone,CHEBI:34423,MAPPED
(2E)-3-(4-hydroxyphenyl)prop-2-enoic acid,synonym,CHEBI:32374,p-Coumaric acid,CHEBI:32374,MAPPED
(2E)-3-[4-(acetyloxy)-3-methoxyphenyl]prop-2-enoic acid,synonym,CHEBI:86582,4-Acetoxy-3-methoxycinnamic acid,CHEBI:86582,MAPPED
(2E)-3-phenyl-2-propenoic acid,synonym,CHEBI:35697,trans-Cinnamic acid,CHEBI:35697,MAPPED
(2E)-3-phenylacrylic acid,synonym,CHEBI:35697,trans-Cinnamic acid,CHEBI:35697,MAPPED
(2E)-3-phenylprop-2-enoic acid,synonym,CHEBI:35697,trans-Cinnamic acid,CHEBI:35697,MAPPED
(2E)-but-2-enedioic acid,synonym,CHEBI:18012,Fumaric acid,CHEBI:18012,MAPPED
(2E)-but-2-enoate,synonym,CHEBI:35899,Na-crotonate,CHEBI:35899,MAPPED
(2E)-but-2-enoic acid,synonym,CHEBI:41131,Crotonic acid,CHEBI:41131,MAPPED
(2E)-pent-2-enoic acid,synonym,CHEBI:38366,trans-2-Pentenoic acid,CHEBI:38366,MAPPED
"(2E,6E,10E,14E,18E,22E,26E,30E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-2,6,10,14,18,22,26,30,34-nonaen-1-ol",synonym,CHEBI:26718,Solanesol,CHEBI:26718,MAPPED
"(2R)-2,3-dihydroxypropyl 2-(trimethylammonio)ethyl phosphate",synonym,CHEBI:16870,sn-glycero-3-phosphocholine,CHEBI:16870,MAPPED
"(2R)-2,3-dihydroxypropyl 2-(trimethylazaniumyl)ethyl phosphate",synonym,CHEBI:16870,sn-glycero-3-phosphocholine,CHEBI:16870,MAPPED
"(2R)-2,3-dihydroxypropyl dihydrogen phosphate",synonym,cas:17989-41-2,sn-Glycerol 3-phosphate lithium salt,CHEBI:15978,MAPPED
"(2R)-2,3-dihydroxypropyl dihydrogen phosphate",synonym,cas:29849-82-9,sn-Glycerol 3-phosphate bis(cyclohexylammonium) salt,CHEBI:15978,MAPPED
"(2R)-2,6-diaminohexanoic acid",synonym,CHEBI:16855,D-Lysine,CHEBI:16855,MAPPED
(2R)-2-amino-3-mercaptopropanoic acid,synonym,CHEBI:17561,L-Cysteine,CHEBI:17561,MAPPED
(2R)-2-Amino-3-sulfanyl-propanoic acid hydrochloride monohydrate,synonym,CHEBI:91248,L-Cysteine HCl x H2O,CHEBI:91248,MAPPED
(2R)-2-Amino-3-sulfanyl-propanoic acid hydrochloride monohydrate,synonym,CHEBI:91248,L-Cysteine hydrochloride monohydrate,CHEBI:91248,MAPPED
(2R)-2-amino-3-sulfanylpropanoic acid,synonym,CHEBI:17561,L-Cysteine,CHEBI:17561,MAPPED
(2R)-2-aminobutanedioic acid,synonym,CHEBI:17364,D-Aspartic Acid,CHEBI:17364,MAPPED
(2R)-2-aminobutanoic acid,synonym,CHEBI:28797,D-2-Aminobutyric acid,CHEBI:28797,MAPPED
(2R)-2-aminopentanedioic acid,synonym,CHEBI:15966,D-Glutamic Acid,CHEBI:15966,MAPPED
(2R)-2-ammonio-3-mercaptopropanoate,synonym,CHEBI:17561,L-Cysteine,CHEBI:17561,MAPPED
(2R)-2-ammonio-3-sulfanylpropanoate,synonym,CHEBI:17561,L-Cysteine,CHEBI:17561,MAPPED
(2R)-2-ammonio-3-sulfanylpropanoate,synonym,CHEBI:35235,L-cysteine zwitterion,CHEBI:35235,MAPPED
"(2R,2'R)-3,3'-disulfanediylbis(2-aminopropanoic acid)",synonym,CHEBI:16283,L-Cystine,CHEBI:16283,MAPPED
"(2R,3R)-2,3,4-trihydroxybutanal",synonym,CHEBI:27904,D-erythrose,CHEBI:27904,MAPPED
"(2R,3R)-2,3-Dihydroxybernsteinsaeure",synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
"(2R,3R)-2,3-dihydroxybutanedioate",synonym,CHEBI:30924,Na-tartrate,CHEBI:30924,MAPPED
"(2R,3R)-2,3-dihydroxybutanedioic acid",synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
"(2R,3R)-2,3-dihydroxysuccinate",synonym,CHEBI:30924,Na-tartrate,CHEBI:30924,MAPPED
"(2R,3R)-2,3-dihydroxysuccinic acid",synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
"(2R,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",synonym,CHEBI:42255,Epigallocatechin,CHEBI:42255,MAPPED
"(2R,3R)-3,5,7-trihydroxy-2-[(2R,3R)-3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]-2,3-dihydro-4H-chromen-4-one",synonym,CHEBI:9144,Silibinin,CHEBI:9144,MAPPED
"(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl 3,4,5-trihydroxybenzoate",synonym,CHEBI:4806,(-)-Epigallocatechin gallate,CHEBI:4806,MAPPED
"(2R,3R)-Tartaric acid",synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
"(2R,3R)-tartrate",synonym,CHEBI:30924,Na-tartrate,CHEBI:30924,MAPPED
"(2R,3R,4R,5R)-Hexane-1,2,3,4,5,6-hexaol",synonym,CHEBI:16899,D-Mannitol,CHEBI:16899,MAPPED
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",synonym,CHEBI:16899,D-Mannitol,CHEBI:16899,MAPPED
"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",synonym,CHEBI:17924,D-Sorbitol,CHEBI:17924,MAPPED
"(2R,3R,4S)-Pentane-1,2,3,4,5-pentaol",synonym,CHEBI:17151,Xylitol,CHEBI:17151,MAPPED
"(2R,3r,4S)-pentane-1,2,3,4,5-pentol",synonym,CHEBI:17151,Xylitol,CHEBI:17151,MAPPED
"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",synonym,CHEBI:16335,Adenosine,CHEBI:16335,MAPPED
"(2R,3R,4S,5S,6S)-2-[[(2R,3S,4R,4aR,6S,7R,8aS)-7-amino-6-[(1R,2R,3S,4R,6S)-4,6-diamino-2,3-dihydroxycyclohexyl]oxy-4-hydroxy-3-(methylamino)-2,3,4,4a,6,7,8,8a-octahydropyrano[3,2-b]pyran-2-yl]oxy]-5-amino-6-(hydroxymethyl)oxane-3,4-diol;suluric acid",synonym,cas:65710-07-8,Apramycin sulfate salt,CHEBI:190734,MAPPED
"(2R,3S)-3-[(4E,7E)-nona-4,7-dienoyl]oxirane-2-carboxamide",synonym,CHEBI:171741,Cerulenin,CHEBI:171741,MAPPED
"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",synonym,CHEBI:17234,Glucose,CHEBI:17234,MAPPED
"(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-hydroxy-9H-purin-9-yl)tetrahydrofuran-3,4-diol",synonym,CHEBI:17596,Inosine,CHEBI:17596,MAPPED
"(2R,3S,4R,5S)-2,3,4,5-tetrahydroxyhexanedioic acid",synonym,CHEBI:30852,Mucic acid,CHEBI:30852,MAPPED
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol;dihydrate",synonym,CHEBI:232797,D-Trehalose dihydrate,CHEBI:232797,MAPPED
"(2R,3S,4S,5S)-2,3,4,5-tetrahydroxyhexanedioic acid",synonym,CHEBI:16002,D-Glucaric acid,CHEBI:16002,MAPPED
"(2R,3S,6S,7R,8R)-3-[(3-formamido-2-hydroxybenzoyl)amino]-8-hexyl-2,6-dimethyl-4,9-dioxo-1,5-dioxonan-7-yl 3-methylbutanoate",synonym,CHEBI:2762,Antimycin A,CHEBI:2762,MAPPED
"(2R,4aR,5aR,6S,7S,8R,9S,9aR,10aS)-4a,7,9-trihydroxy-2-methyl-6,8-bis(methylamino)decahydro-4H-pyrano[2,3-b][1,4]benzodioxin-4-one dihydrochloride pentahydrate",synonym,CHEBI:9217,Spectinomycin dihydrochloride pentahydrate,CHEBI:9217,MAPPED
"(2R,4aR,5aR,6S,7S,8R,9S,9aR,10aS)-4a,7,9-trihydroxy-2-methyl-6,8-bis(methylamino)decahydro-4H-pyrano[2,3-b][1,4]benzodioxin-4-one dihydrochloride--water (1/5)",synonym,CHEBI:9217,Spectinomycin dihydrochloride pentahydrate,CHEBI:9217,MAPPED
"(2R,4aR,5aR,6S,7S,8R,9S,9aR,10aS)-4a,7,9-trihydroxy-N,N',2-trimethyl-4-oxodecahydro-2H-pyrano[2,3-b][1,4]benzodioxine-6,8-diaminium dichloride--water (1/5)",synonym,CHEBI:9217,Spectinomycin dihydrochloride pentahydrate,CHEBI:9217,MAPPED
"(2R,4aS,6aS,12bS,14aS,14bR)-10,11-dihydroxy-2,4a,6a,9,12b,14a-hexamethyl-1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydropicene-2-carboxylic acid",synonym,CHEBI:132340,Dihydrocelastrol,CHEBI:132340,MAPPED
"(2R,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5S)-5-acetamido-4-[(2R,3R,4R,5S,6R)-3-acetamido-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,3,6-trihydroxyhexoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",synonym,CHEBI:25351,DL-mevalonic acid,CHEBI:25351,MAPPED
"(2R,6aS,12aS)-8,9-dimethoxy-2-(prop-1-en-2-yl)-1,2,12,12a-tetrahydrochromeno[3,4-b]furo[2,3-h]chromen-6(6aH)-one",synonym,CHEBI:28201,Rotenone,CHEBI:28201,MAPPED
"(2S)-2,4-diamino-4-oxobutanoic acid",synonym,CHEBI:17196,L-Asparagine,CHEBI:17196,MAPPED
"(2S)-2,5-diaminopentanoic acid",synonym,CHEBI:15729,L-Ornithine,CHEBI:15729,MAPPED
"(2S)-2,5-diaminopentanoic acid;hydrochloride",synonym,CHEBI:195690,L-ornithine monohydrochloride,CHEBI:195690,MAPPED
"(2S)-2,6-diaminohexanoic acid",synonym,CHEBI:18019,L-Lysine,CHEBI:18019,MAPPED
"(2S)-2-(4-{[(2-amino-4-oxo-3,4-dihydropteridin-6-yl)methyl]amino}benzamido)pentanedioic acid",synonym,CHEBI:27470,Folic acid,CHEBI:27470,MAPPED
(2S)-2-(acetylamino)-5-amino-5-oxopentanoic acid,synonym,CHEBI:21553,N-Acetyl-L-glutamine,CHEBI:21553,MAPPED
(2S)-2-(acetylamino)-6-aminohexanoic acid,synonym,CHEBI:35704,n-Acetyl-lysine,CHEBI:35704,MAPPED
(2S)-2-acetamidobutanedioic acid,synonym,CHEBI:21547,N-Acetyl-L-aspartic acid,CHEBI:21547,MAPPED
(2S)-2-acetamidopentanedioic acid,synonym,CHEBI:17533,N-Acetyl-L-Glutamic Acid,CHEBI:17533,MAPPED
(2S)-2-amino-3-(1H-imidazol-4-yl)propanoic acid,synonym,CHEBI:15971,L-Histidine,CHEBI:15971,MAPPED
(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,synonym,CHEBI:16828,L-Tryptophan,CHEBI:16828,MAPPED
"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",synonym,CHEBI:15765,Levodopa,CHEBI:15765,MAPPED
(2S)-2-amino-3-(3-hydroxyphenyl)propanoic acid,synonym,cas:587-33-7,L-Meta-tyrosine,CHEBI:44303,MAPPED
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,synonym,CHEBI:17895,L-Tyrosine,CHEBI:17895,MAPPED
(2S)-2-amino-3-carbamoylpropanoic acid,synonym,CHEBI:17196,L-Asparagine,CHEBI:17196,MAPPED
(2S)-2-amino-3-hydroxypropanoic acid,synonym,CHEBI:17115,L-Serine,CHEBI:17115,MAPPED
(2S)-2-amino-3-methylbutanoic acid,synonym,CHEBI:16414,L-Valine,CHEBI:16414,MAPPED
(2S)-2-amino-3-phenylpropanoic acid,synonym,CHEBI:17295,L-Phenylalanine,CHEBI:17295,MAPPED
(2S)-2-amino-4-(methylsulfanyl)butanoic acid,synonym,CHEBI:16643,L-Methionine,CHEBI:16643,MAPPED
(2S)-2-amino-4-carbamoylbutanoic acid,synonym,CHEBI:18050,L-Glutamine,CHEBI:18050,MAPPED
(2S)-2-amino-4-methylpentanoic acid,synonym,CHEBI:15603,L-Leucine,CHEBI:15603,MAPPED
(2S)-2-amino-5-(carbamimidamido)pentanoic acid,synonym,CHEBI:16467,L-Arginine,CHEBI:16467,MAPPED
(2S)-2-amino-5-(carbamoylamino)pentanoic acid,synonym,CHEBI:16349,L-Citrulline,CHEBI:16349,MAPPED
(2S)-2-amino-5-guanidinopentanoic acid,synonym,CHEBI:16467,L-Arginine,CHEBI:16467,MAPPED
(2S)-2-aminobutanedioic acid,synonym,CHEBI:17053,L-Aspartic acid,CHEBI:17053,MAPPED
(2S)-2-aminobutanedioic acid,synonym,cas:1115-63-5,L-Aspartic acid potassium salt,CHEBI:17053,MAPPED
(2S)-2-aminobutanedioic acid,synonym,cas:323194-76-9,L-Aspartic acid sodium salt monohydrate,CHEBI:17053,MAPPED
(2S)-2-aminobutanoic acid,synonym,CHEBI:35619,L-2-Aminobutyric acid,CHEBI:35619,MAPPED
(2S)-2-aminohexanedioic acid,synonym,CHEBI:37023,DL-2-Aminoadipic acid,CHEBI:37023,MAPPED
(2S)-2-aminopentanedioate,synonym,CHEBI:29988,Na-glutamate,CHEBI:29988,MAPPED
(2S)-2-aminopentanedioic acid,synonym,CHEBI:16015,L-Glutamic acid,CHEBI:16015,MAPPED
(2S)-2-aminopentanedioic acid,synonym,cas:6382-01-0,L-Glutamic acid monopotassium salt monohydrate,CHEBI:16015,MAPPED
(2S)-2-aminopropanoic acid,synonym,CHEBI:16977,L-Alanine,CHEBI:16977,MAPPED
(2S)-2-ammonio-3-(1H-indol-3-yl)propanoate,synonym,CHEBI:57912,DL-Tryptophan,CHEBI:57912,MAPPED
(2S)-2-azaniumyl-3-(1H-indol-3-yl)propanoate,synonym,CHEBI:57912,DL-Tryptophan,CHEBI:57912,MAPPED
(2S)-2-hydroxybutanedioic acid,synonym,CHEBI:30797,L-Malic acid,CHEBI:30797,MAPPED
