identifier,preferred_term,mapping_status,ontology_id,ontology_source,mapping_quality,occurrences,parent_ingredient,variant_type
CHEBI:34472,6-Hydroxyflavone,MAPPED,CHEBI:34472,CHEBI,EXACT_MATCH,0,,
CHEBI:17901,6-O-Acetyl-D-glucose,MAPPED,CHEBI:17901,CHEBI,EXACT_MATCH,0,,
cas:157574-76-0,6'-O-sialyllactose sodium salt,MAPPED,CHEBI:26714,CHEBI,NARROW_MATCH,0,,
cas:27593-23-3,6-Pentyl-2H-pyran-2-one,MAPPED,CHEBI:66729,CHEBI,NARROW_MATCH,0,,
CHEBI:16168,6-hydroxypyridine-3-carboxylic acid,MAPPED,CHEBI:16168,CHEBI,EXACT_MATCH,0,,
CHEBI:173101,6-methoxy-2(3H)-benzoxazolone,MAPPED,CHEBI:173101,CHEBI,EXACT_MATCH,0,,
mesh:C052093,7-Hydro-8-methylpteroylglutamylglutamic acid,MAPPED,mesh:C052093,MESH,EXACT_MATCH,0,,
CHEBI:2268,7-hydroxyflavone,MAPPED,CHEBI:2268,CHEBI,EXACT_MATCH,0,,
cas:77298-66-9,"7,2'-Dihydroxyflavone",MAPPED,CHEBI:94071,CHEBI,NARROW_MATCH,0,,
CHEBI:67121,8-hydroxy-nitroquinoline,MAPPED,CHEBI:67121,CHEBI,EXACT_MATCH,0,,
CHEBI:40585,a-Cyclodextrin,MAPPED,CHEBI:40585,CHEBI,EXACT_MATCH,0,,
cas:305-72-6,a-Ketoglutaric acid disodium salt hydrate,MAPPED,cas:305-72-6,CAS,FALLBACK_REGISTRY,13,,
cas:853-68-9,AQDS,MAPPED,cas:853-68-9,CAS,FALLBACK_REGISTRY,0,,
CHEBI:28987,Abietic Acid,MAPPED,CHEBI:28987,CHEBI,EXACT_MATCH,0,,
CHEBI:2365,Abscisic acid,MAPPED,CHEBI:2365,CHEBI,EXACT_MATCH,0,,
kgmicrobe.compound:aburamycin_a,Aburamycin A,MAPPED,kgmicrobe.compound:aburamycin_a,kgmicrobe.compound,PLACEHOLDER,0,,
kgmicrobe.compound:abyssomicin_b,Abyssomicin B,MAPPED,kgmicrobe.compound:abyssomicin_b,kgmicrobe.compound,PLACEHOLDER,0,,
mesh:C512805,Abyssomicin D,MAPPED,mesh:C512805,MESH,EXACT_MATCH,0,,
kgmicrobe.compound:abyssomicin_g,Abyssomicin G,MAPPED,kgmicrobe.compound:abyssomicin_g,kgmicrobe.compound,PLACEHOLDER,0,,
kgmicrobe.compound:abyssomicin_h,Abyssomicin H,MAPPED,kgmicrobe.compound:abyssomicin_h,kgmicrobe.compound,PLACEHOLDER,0,,
CHEBI:15335,Acacetin,MAPPED,CHEBI:15335,CHEBI,EXACT_MATCH,0,,
CHEBI:39061,ACES,MAPPED,CHEBI:39061,CHEBI,EXACT_MATCH,8,,
CHEBI:15343,acetaldehyde,MAPPED,CHEBI:15343,CHEBI,EXACT_MATCH,0,,
CHEBI:30089,Acetate,MAPPED,CHEBI:30089,CHEBI,EXACT_MATCH,44,,
CHEBI:30089,Acetate (carbon source),MAPPED,CHEBI:30089,CHEBI,EXACT_MATCH,0,,
CHEBI:15366,Acetic acid,MAPPED,CHEBI:15366,CHEBI,EXACT_MATCH,36,,
CHEBI:15347,acetone,MAPPED,CHEBI:15347,CHEBI,EXACT_MATCH,0,,
CHEBI:2404,Acetosyringone,MAPPED,CHEBI:2404,CHEBI,EXACT_MATCH,0,,
CHEBI:2781,Acetovanillone,MAPPED,CHEBI:2781,CHEBI,EXACT_MATCH,0,,
CHEBI:134431,Acetylated xylan,MAPPED,CHEBI:134431,CHEBI,EXACT_MATCH,0,,
kgmicrobe.compound:achromoviromycin,Achromoviromycin,MAPPED,kgmicrobe.compound:achromoviromycin,kgmicrobe.compound,PLACEHOLDER,0,,
CHEBI:51739,Acridine orange,MAPPED,CHEBI:51739,CHEBI,EXACT_MATCH,0,,
cas:8048-52-0,Acriflavine,MAPPED,NCIT:C76253,NCIT,NARROW_MATCH,0,,
CHEBI:70241,Actein,MAPPED,CHEBI:70241,CHEBI,EXACT_MATCH,0,,
kgmicrobe.compound:actinohivin,Actinohivin,MAPPED,kgmicrobe.compound:actinohivin,kgmicrobe.compound,PLACEHOLDER,0,,
kgmicrobe.compound:actinomycetin,Actinomycetin,MAPPED,kgmicrobe.compound:actinomycetin,kgmicrobe.compound,PLACEHOLDER,0,,
kgmicrobe.compound:actinomycin_a,Actinomycin A,MAPPED,CHEBI:15369,CHEBI,NARROW_MATCH,0,,
CHEBI:27666,Actinomycin D,MAPPED,CHEBI:27666,CHEBI,EXACT_MATCH,0,,
mesh:C006403,Actinotiocin,MAPPED,mesh:C006403,MESH,EXACT_MATCH,0,,
NCIT:C77524,Activated charcoal,MAPPED,NCIT:C77524,NCIT,EXACT_MATCH,0,,
CHEBI:16708,Adenine,MAPPED,CHEBI:16708,CHEBI,EXACT_MATCH,2,,
cas:2922-28-3,Adenine hydrochloride hydrate,MAPPED,cas:2922-28-3,CAS,FALLBACK_REGISTRY,31,,
NCIT:C221830,Adenomycin,MAPPED,NCIT:C221830,CHEBI,EXACT_MATCH,0,,
CHEBI:16335,Adenosine,MAPPED,CHEBI:16335,CHEBI,CAS_RN_LOOKUP,14,,
CHEBI:17489,"Adenosine 3,5-Cyclic Monophosphate",MAPPED,CHEBI:17489,CHEBI,EXACT_MATCH,0,,
CHEBI:30832,Adipic acid,MAPPED,CHEBI:30832,CHEBI,EXACT_MATCH,0,,
cas:0305-01-1,Aesculetin,MAPPED,cas:0305-01-1,CAS,FALLBACK_REGISTRY,0,,
CHEBI:2509,Agar,MAPPED,CHEBI:2509,CHEBI,EXACT_MATCH,3682,,
CHEBI:2511,Agarose,MAPPED,CHEBI:2511,CHEBI,EXACT_MATCH,22,,
FOODON:00005198,Agave,MAPPED,FOODON:00005198,FOODON,EXACT_MATCH,0,,
ENVO:00002263,air-dried garden soil,MAPPED,ENVO:00002263,ENVO,LEXICAL_MATCH,0,,
CHEBI:74779,Al2(SO4)3 x 18 H2O,MAPPED,CHEBI:74779,CHEBI,EXACT_MATCH,1,,
CHEBI:221124,alanosine,MAPPED,CHEBI:221124,CHEBI,EXACT_MATCH,0,,
kgmicrobe.compound:alboverticillin,Alboverticillin,MAPPED,kgmicrobe.compound:alboverticillin,kgmicrobe.compound,PLACEHOLDER,0,,
CHEBI:30114,AlCl3,MAPPED,CHEBI:30114,CHEBI,EXACT_MATCH,57,,
CHEBI:30115,AlCl3 x 6 H2O,MAPPED,CHEBI:30115,CHEBI,EXACT_MATCH,31,,
MICRO:0000455,Algal Trace Elements Solution,MAPPED,MICRO:0000455,MICRO,LEXICAL_MATCH,1,,
CHEBI:86463,AlK(SO4)2,MAPPED,CHEBI:86463,CHEBI,EXACT_MATCH,146,,
CHEBI:86465,AlK(SO4)2 x 12 H2O,MAPPED,CHEBI:86465,CHEBI,EXACT_MATCH,750,,
CHEBI:15676,Allantoin,MAPPED,CHEBI:15676,CHEBI,EXACT_MATCH,4,,
CHEBI:40279,Allopurinol,MAPPED,CHEBI:40279,CHEBI,EXACT_MATCH,0,,
CHEBI:172687,Allura Red AC,MAPPED,CHEBI:172687,CHEBI,EXACT_MATCH,0,,
CHEBI:73222,Aloin,MAPPED,CHEBI:73222,CHEBI,EXACT_MATCH,0,,
CHEBI:36219,alpha-Lactose,MAPPED,CHEBI:36219,CHEBI,EXACT_MATCH,0,,
CHEBI:9643,Alpha-Toxicarol (Dl),MAPPED,CHEBI:9643,CHEBI,EXACT_MATCH,0,,
CHEBI:17925,alpha-D-Glucose,MAPPED,CHEBI:17925,CHEBI,EXACT_MATCH,4,,
CHEBI:30915,alpha-ketoglutaric acid,MAPPED,CHEBI:30915,CHEBI,EXACT_MATCH,4,,
CHEBI:74772,Aluminium sulfate,MAPPED,CHEBI:74772,CHEBI,EXACT_MATCH,1,,
cas:10124-27-3,Aluminum chloride hydrate,MAPPED,NCIT:C83530,NCIT,NARROW_MATCH,11,,
CHEBI:2638,Amikacin disulfate salt,MAPPED,CHEBI:2638,CHEBI,EXACT_MATCH,0,,
CHEBI:62947,Ammonium acetate,MAPPED,CHEBI:62947,CHEBI,EXACT_MATCH,59,,
CHEBI:31206,Ammonium chloride (nitrogen source),MAPPED,CHEBI:31206,CHEBI,EXACT_MATCH,0,,
cas:12054-85-2,ammonium molybdate tetrahydrate,MAPPED,CHEBI:91249,CHEBI,NARROW_MATCH,11,,
CHEBI:156543,ammonium persulfate,MAPPED,CHEBI:156543,CHEBI,EXACT_MATCH,0,,
CHEBI:81950,Ammonium Sulfamate,MAPPED,CHEBI:81950,CHEBI,EXACT_MATCH,0,,
cas:12135-76-1,ammonium sulfide solution,MAPPED,mesh:C027711,MESH,NARROW_MATCH,0,,
cas:7783-11-1,Ammonium sulfite monohydrate,MAPPED,mesh:C048169,MESH,NARROW_MATCH,0,,
CHEBI:2676,Amoxicillin,MAPPED,CHEBI:2676,CHEBI,EXACT_MATCH,0,,
mesh:C041989,Amphotericin A,MAPPED,mesh:C041989,MESH,EXACT_MATCH,0,,
CHEBI:2682,Amphotericin B,MAPPED,CHEBI:2682,CHEBI,EXACT_MATCH,2,,
CHEBI:28971,Ampicillin,MAPPED,CHEBI:28971,CHEBI,EXACT_MATCH,18,,
CHEBI:34535,Ampicillin sodium salt,MAPPED,CHEBI:34535,CHEBI,LEXICAL_MATCH,0,,
CHEBI:28057,amylopectin from maize,MAPPED,CHEBI:28057,CHEBI,EXACT_MATCH,0,,
CHEBI:28102,Amylose from potato,MAPPED,CHEBI:28102,CHEBI,EXACT_MATCH,0,,
cas:53912-89-3,Anabasine Hydrochloride,MAPPED,NCIT:C216370,NCIT,NARROW_MATCH,0,,
cas:6488-63-7,Andirobin,MAPPED,cas:6488-63-7,CAS,FALLBACK_REGISTRY,0,,
CHEBI:65408,Andrographolide,MAPPED,CHEBI:65408,CHEBI,EXACT_MATCH,0,,
CHEBI:2716,Anethole,MAPPED,CHEBI:2716,CHEBI,EXACT_MATCH,0,,
mesh:C002547,Angolamycin,MAPPED,mesh:C002547,MESH,EXACT_MATCH,0,,
CHEBI:8612,Angustmycin,MAPPED,CHEBI:8612,CHEBI,EXACT_MATCH,0,,
