source_record	record_sha256	identifier	preferred_term	mapping_status	disposition	basis
data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	8a2c69adcb8c2dff48034d0fdb7c5b271f64da8c03fa4bee355cd70ad9957173	cas:5094-24-6	2-Hydroxybutyric acid sodium salt	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Hydroxypyridine.yaml	157ff59a1e0d6d6aeb7d691c3e7adbc094a4ccb91ba89b2f7ab0731127102ddf	CHEBI:16540	2-Hydroxypyridine	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	cas:1040352-40-6	2-Keto-D-gluconic acid hemicalcium salt hydrate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	kgmicrobe.compound:2-keto-d-gluconic_acid_hemicalcium_salt_monohydrate	2-Keto-D-gluconic acid hemicalcium salt monohydrate	MAPPED	identity_reviewed_other_findings_not_cleared	identity-plan.json
data/ingredients/mapped/2-Mercaptopyridine_N-oxide_Sodium_Salt.yaml	ec531e594af526c8f53cebf76835381bdd3fb45e805c35ae74c25413c181915a	CHEBI:201738	2-Mercaptopyridine N-oxide sodium salt	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Nitrophenol.yaml	a7129e0ed90f6ab1984acc26027154dec6ae075cb8d17788085c248e9bdbcc62	CHEBI:16260	2-Nitrophenol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Piperidinone.yaml	3584b1ea7932d7d273c6302b1d005b9306b31f5701f07f460c79339ff3b4a784	CHEBI:77761	2-Piperidinone	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Sulfobenzoic_Acid.yaml	d0e38cbadd34fc3225b53af8c9f57782b12f7b640df03f1da28ed9e3c3e7d95f	mesh:C028805	2-Sulfobenzoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-_Methylthioethanol.yaml	61e7355ed238c22605893898fe09654c8310154ae3ec988be9a96a998c6edcf9	CHEBI:63861	2-(Methylthio)ethanol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-aminobenzoate.yaml	2391740001d3ee531a7320e817c6207d4f06091d4fcec9dd2ff7874100c77607	CHEBI:16567	2-aminobenzoate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-aminopentanoic_Acid.yaml	7d4fe951e65be8c35d273a78b705600d5c3498dead9c1817654acb076cccd295	CHEBI:19475	2-aminopentanoic Acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-bromo-2-nitro-13-propanediol.yaml	1a1c9af996e59b716a885b0682d72c68c353f8365c839f43e9d788fccf5a2a9b	CHEBI:31306	2-bromo-2-nitro-1,3-propanediol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-butanolCO2.yaml	fadd8fc30be85b58521508b7521413612db100a3888766d8bb9d7f011bbfa351	kgmicrobe.ingredient:2_butanol_co2	2-butanol+CO2	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-chloro-4ethylamino-6-isopropylamino-135-triazine.yaml	30705d7e1866a55fbcb9e5cba58f2ddd34e86073d5cb968bfaa332afab64151b	CHEBI:15930	2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine	MAPPED	identity_reviewed_other_findings_not_cleared	identity-plan.json
data/ingredients/mapped/2-dehydro-D-gluconate.yaml	e678aa7ecbbf728bd3fc4c843cf290102879373ee0f0834109678936b92443e2	CHEBI:16808	2-dehydro-D-gluconate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-deoxyadenosine.yaml	992a02df42d22c2b42dd432e809d6dcefd0816d270733a044dd0838e77bda930	CHEBI:17256	2-deoxyadenosine	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-deoxyinosine.yaml	3b564e63bc115d18b1076b7bdcf5bd8c4b4266b97e5643cf5e267f5d0d9976f5	CHEBI:28997	2'-Deoxyinosine	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-deoxythymidine-5-4-nitrophenyl_Phosphate.yaml	901ededf2ad1d3f7296d551b8199c3ac580a4847d021417e8a3d46b30f4b2a5e	kgmicrobe.compound:2-deoxythymidine-5-4-nitrophenyl_phosphate	2-deoxythymidine-5'-4-nitrophenyl Phosphate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-deoxyuridine.yaml	83bfa7a3eff6ca4f5bb7075f09697ce983dd2847f19333f70a33fdf575831647	CHEBI:16450	2'-Deoxyuridine	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-dichloroethane.yaml	91b5fec5e528b107b7a9292f5593dc7c59e537eedc0f831e2b7c1d84e6acc281	CHEBI:27789	1,2-dichloroethane	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-fucosyllactose.yaml	bde00bf7772e8836de3a18247e7ba65b7a04c6242c5b59e16e35c97890ebb87a	CHEBI:147155	2'-fucosyllactose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-furoic_Acid.yaml	e1168333c113af616dcadf4d9f651ff17ef0540bcac6e82832dbeda8a8bdbb45	CHEBI:30845	2-Furoic acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-hydroxybutyrate.yaml	3eb429e4d3a91c1eee8f0a59a84ad85bfa1cbb6915ac26d47c25175f2658ffb0	CHEBI:64552	2-hydroxybutyrate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-mercaptoethanesulfonate.yaml	e8f3c1d4d2fa4db30af58424d9f800054d41d1bf7d0531d0a53dad443f276bae	CHEBI:17905	2-Mercaptoethanesulfonate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-mercaptoethanol.yaml	b32f24ce80193042971850fb87c4b1c8836eb8a72b09e9e1bd48ad0cfcfe84bd	CHEBI:41218	2-Mercaptoethanol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-methyl-1-butanol.yaml	94b29c09ab4378a3220ffe8b1db46fcbb8067c8e68f612cd3c0263f733c5df88	CHEBI:48945	2-methyl-1-butanol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-methyl-4-isothizaolin-3-one.yaml	8581b1e7af5e0ddc798d8fc313ca42f2664b0ccc674fb25647ae7e055eda304a	CHEBI:53620	2-methyl-4-isothizaolin-3-one	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-n-Heptyl-4-hydroxyquinoline_N-oxide.yaml	6bb4dd845d308b1650553b90e19ba47ce74ea922a1e658602fad94627373b19f	CHEBI:28362	2-n-Heptyl-4-hydroxyquinoline N-oxide	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
