placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.trait:01_09	biolink:PhenotypicQuality	01-09	BacDive_Salt_concentration	4
kgmicrobe.trait:02_12	biolink:PhenotypicQuality	02-12	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	4
kgmicrobe.trait:02_15	biolink:PhenotypicQuality	02-15	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:03_10	biolink:PhenotypicQuality	03-10	BacDive_Salt_concentration|BacDive_pH_for_growth	4
kgmicrobe.trait:04_48	biolink:PhenotypicQuality	04-48	BacDive_Temperature_for_growth	4
kgmicrobe.trait:05_32	biolink:PhenotypicQuality	05-32	BacDive_Temperature_for_growth	4
kgmicrobe.trait:08_30	biolink:PhenotypicQuality	08-30	BacDive_Temperature_for_growth	4
kgmicrobe.trait:09_10	biolink:PhenotypicQuality	09-10	BacDive_Salt_concentration|BacDive_pH_for_growth	4
kgmicrobe.trait:09_12	biolink:PhenotypicQuality	09-12	BacDive_Salt_concentration|BacDive_pH_for_growth	4
kgmicrobe.trait:09_37	biolink:PhenotypicQuality	09-37	BacDive_Temperature_for_growth	4
kgmicrobe.trait:0_0_12_0	biolink:PhenotypicQuality	0.0-12.0	BacDive_Salt_concentration	4
kgmicrobe.trait:0_0_15_0	biolink:PhenotypicQuality	0.0-15.0	BacDive_Salt_concentration	4
kgmicrobe.trait:0_0_20_0	biolink:PhenotypicQuality	0.0-20.0	BacDive_Salt_concentration	4
kgmicrobe.trait:0_0_25	biolink:PhenotypicQuality	0-0.25	BacDive_Salt_concentration	4
kgmicrobe.trait:0_0_2_5	biolink:PhenotypicQuality	0.0-2.5	BacDive_Salt_concentration	4
kgmicrobe.trait:0_0_6	biolink:PhenotypicQuality	0-0.6	BacDive_Salt_concentration	4
kgmicrobe.trait:0_1_0_5	biolink:PhenotypicQuality	0.1-0.5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	4
kgmicrobe.trait:0_1_1	biolink:PhenotypicQuality	0-1.1	BacDive_Colony_size|BacDive_Salt_concentration	4
kgmicrobe.trait:0_28	biolink:PhenotypicQuality	0.28	BacDive_Cell_width|BacDive_Temperature_for_growth	4
kgmicrobe.trait:0_29	biolink:PhenotypicQuality	0.29	BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	4
kgmicrobe.trait:0_2_3	biolink:PhenotypicQuality	0.2-3	BacDive_Salt_concentration	4
kgmicrobe.trait:0_36	biolink:PhenotypicQuality	0.36	BacDive_Cell_width|BacDive_Temperature_for_growth	4
kgmicrobe.trait:0_375	biolink:PhenotypicQuality	0.375	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:0_3_1_1	biolink:PhenotypicQuality	0.3-1.1	BacDive_Cell_width|BacDive_Colony_size	4
kgmicrobe.trait:0_3_1_2	biolink:PhenotypicQuality	0.3-1.2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	4
kgmicrobe.trait:0_46	biolink:PhenotypicQuality	0-46	BacDive_Cell_width|BacDive_Temperature_for_growth	4
kgmicrobe.trait:0_475	biolink:PhenotypicQuality	0.475	BacDive_Cell_width	4
kgmicrobe.trait:0_4_2_5	biolink:PhenotypicQuality	0.4-2.5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Salt_concentration	4
kgmicrobe.trait:0_52	biolink:PhenotypicQuality	0.52	BacDive_Cell_width	4
kgmicrobe.trait:0_53	biolink:PhenotypicQuality	0.53	BacDive_Cell_width	4
kgmicrobe.trait:0_58	biolink:PhenotypicQuality	0.58	BacDive_Cell_width|BacDive_Salt_concentration	4
kgmicrobe.trait:0_5_1_7	biolink:PhenotypicQuality	0.5-1.7	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:0_5_1_8	biolink:PhenotypicQuality	0.5-1.8	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:0_75_1_0	biolink:PhenotypicQuality	0.75-1.0	BacDive_Colony_size	4
kgmicrobe.trait:0_83	biolink:PhenotypicQuality	0.83	BacDive_Cell_width	4
kgmicrobe.trait:0_86	biolink:PhenotypicQuality	0.86	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:0_8_1_9	biolink:PhenotypicQuality	0.8-1.9	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:0_9_0	biolink:PhenotypicQuality	0-9.0	BacDive_Salt_concentration	4
kgmicrobe.trait:0_9_1_9	biolink:PhenotypicQuality	0.9-1.9	BacDive_Cell_length	4
kgmicrobe.trait:0_9_2_0	biolink:PhenotypicQuality	0.9-2.0	BacDive_Cell_length	4
kgmicrobe.trait:0_9_3_5	biolink:PhenotypicQuality	0.9-3.5	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:0_9_5	biolink:PhenotypicQuality	0-9.5	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:10_0_50_0	biolink:PhenotypicQuality	10.0-50.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:11_6_29	biolink:PhenotypicQuality	11.6-29	BacDive_Salt_concentration	4
kgmicrobe.trait:14_38	biolink:PhenotypicQuality	14-38	BacDive_Temperature_for_growth	4
kgmicrobe.trait:14_5_29	biolink:PhenotypicQuality	14.5-29	BacDive_Salt_concentration	4
kgmicrobe.trait:15_0_42_0	biolink:PhenotypicQuality	15.0-42.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:15_34	biolink:PhenotypicQuality	15-34	BacDive_Temperature_for_growth	4
kgmicrobe.trait:15_44	biolink:PhenotypicQuality	15-44	BacDive_Temperature_for_growth	4
kgmicrobe.trait:17_40	biolink:PhenotypicQuality	17-40	BacDive_Salt_concentration|BacDive_Temperature_for_growth	4
kgmicrobe.trait:18_22	biolink:PhenotypicQuality	18-22	BacDive_Temperature_for_growth	4
kgmicrobe.trait:18_32	biolink:PhenotypicQuality	18-32	BacDive_Temperature_for_growth	4
kgmicrobe.trait:1_0_1_1	biolink:PhenotypicQuality	1.0-1.1	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:1_0_3_5	biolink:PhenotypicQuality	1.0-3.5	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:1_14	biolink:PhenotypicQuality	1-14	BacDive_Salt_concentration	4
kgmicrobe.trait:1_1_2_1	biolink:PhenotypicQuality	1.1-2.1	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:1_1_2_5	biolink:PhenotypicQuality	1.1-2.5	BacDive_Cell_length	4
kgmicrobe.trait:1_24	biolink:PhenotypicQuality	1.24	BacDive_Salt_concentration	4
kgmicrobe.trait:1_2_2_6	biolink:PhenotypicQuality	1.2-2.6	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:1_2_4	biolink:PhenotypicQuality	1.2-4	BacDive_Cell_length	4
kgmicrobe.trait:1_30	biolink:PhenotypicQuality	1-30	BacDive_Temperature_for_growth	4
kgmicrobe.trait:1_3_2_6	biolink:PhenotypicQuality	1.3-2.6	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:1_3_2_8	biolink:PhenotypicQuality	1.3-2.8	BacDive_Cell_length	4
kgmicrobe.trait:1_3_3_0	biolink:PhenotypicQuality	1.3-3.0	BacDive_Cell_length	4
kgmicrobe.trait:1_4_1_9	biolink:PhenotypicQuality	1.4-1.9	BacDive_Cell_length	4
kgmicrobe.trait:1_4_2_8	biolink:PhenotypicQuality	1.4-2.8	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:1_4_5	biolink:PhenotypicQuality	1.4-5	BacDive_Cell_length	4
kgmicrobe.trait:1_5_1_6	biolink:PhenotypicQuality	1.5-1.6	BacDive_Cell_length	4
kgmicrobe.trait:1_6_1_9	biolink:PhenotypicQuality	1.6-1.9	BacDive_Cell_length	4
kgmicrobe.trait:1_6_2_8	biolink:PhenotypicQuality	1.6-2.8	BacDive_Cell_length	4
kgmicrobe.trait:1_6_3_2	biolink:PhenotypicQuality	1.6-3.2	BacDive_Cell_length	4
kgmicrobe.trait:1_6_3_8	biolink:PhenotypicQuality	1.6-3.8	BacDive_Cell_length	4
kgmicrobe.trait:1_6_5	biolink:PhenotypicQuality	1-6.5	BacDive_Salt_concentration	4
kgmicrobe.trait:1_8_2_6	biolink:PhenotypicQuality	1.8-2.6	BacDive_Cell_length	4
kgmicrobe.trait:1_8_3	biolink:PhenotypicQuality	1.8-3	BacDive_Cell_length	4
kgmicrobe.trait:1_8_3_0	biolink:PhenotypicQuality	1.8-3.0	BacDive_Cell_length	4
kgmicrobe.trait:1_8_3_2	biolink:PhenotypicQuality	1.8-3.2	BacDive_Cell_length|BacDive_Cell_width	4
kgmicrobe.trait:1_9_2_1	biolink:PhenotypicQuality	1.9-2.1	BacDive_Cell_length	4
kgmicrobe.trait:1_9_2_4	biolink:PhenotypicQuality	1.9-2.4	BacDive_Cell_length	4
kgmicrobe.trait:1_9_2_7	biolink:PhenotypicQuality	1.9-2.7	BacDive_Cell_length	4
kgmicrobe.trait:1_days	biolink:PhenotypicQuality	1 days	BacDive_Incubation_period	4
kgmicrobe.trait:20_0_35_0	biolink:PhenotypicQuality	20.0-35.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:20_0_42_0	biolink:PhenotypicQuality	20.0-42.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:21_23	biolink:PhenotypicQuality	21-23	BacDive_Temperature_for_growth	4
kgmicrobe.trait:24_26	biolink:PhenotypicQuality	24-26	BacDive_Temperature_for_growth	4
kgmicrobe.trait:25_58	biolink:PhenotypicQuality	25-58	BacDive_Temperature_for_growth	4
kgmicrobe.trait:27_37	biolink:PhenotypicQuality	27-37	BacDive_Temperature_for_growth	4
kgmicrobe.trait:28_50	biolink:PhenotypicQuality	28-50	BacDive_Temperature_for_growth	4
kgmicrobe.trait:2_0_12_0	biolink:PhenotypicQuality	2.0-12.0	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:2_0_2_2	biolink:PhenotypicQuality	2.0-2.2	BacDive_Cell_length	4
kgmicrobe.trait:2_0_33_0	biolink:PhenotypicQuality	2.0-33.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:2_13	biolink:PhenotypicQuality	2.13	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:2_20	biolink:PhenotypicQuality	2-20	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:2_2_2_6	biolink:PhenotypicQuality	2.2-2.6	BacDive_Cell_length	4
kgmicrobe.trait:2_2_3_5	biolink:PhenotypicQuality	2.2-3.5	BacDive_Cell_length|BacDive_Colony_size	4
kgmicrobe.trait:2_4_3	biolink:PhenotypicQuality	2-4.3	BacDive_Cell_length	4
kgmicrobe.trait:2_5_6_0	biolink:PhenotypicQuality	2.5-6.0	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:2_d_lactose	biolink:PhenotypicQuality	(2)-D-lactose	BacDive_Metabolite_utilization	4
kgmicrobe.trait:2_deoxythymidine_5_4_nitrophenyl_phosphate	biolink:PhenotypicQuality	2-deoxythymidine-5'-4-nitrophenyl phosphate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:2_dimethylsuccinic_acid	biolink:PhenotypicQuality	2-dimethylsuccinic acid	BacDive_Metabolite_utilization	4
kgmicrobe.trait:30_days	biolink:PhenotypicQuality	30 days	BacDive_Incubation_period	4
kgmicrobe.trait:37_40	biolink:PhenotypicQuality	37-40	BacDive_Temperature_for_growth	4
kgmicrobe.trait:39	biolink:PhenotypicQuality	39	BacDive_Temperature_for_growth	4
kgmicrobe.trait:3_0_10_0	biolink:PhenotypicQuality	3.0-10.0	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	4
kgmicrobe.trait:3_2	biolink:PhenotypicQuality	3.2	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	4
kgmicrobe.trait:3_3_5	biolink:PhenotypicQuality	3-3.5	BacDive_Cell_length	4
kgmicrobe.trait:3_50	biolink:PhenotypicQuality	3.50	BacDive_Salt_concentration	4
kgmicrobe.trait:3_5_7_5	biolink:PhenotypicQuality	3.5-7.5	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:3_5_8	biolink:PhenotypicQuality	3.5-8	BacDive_pH_for_growth	4
kgmicrobe.trait:3_5_8_0	biolink:PhenotypicQuality	3.5-8.0	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:3_5_8_5	biolink:PhenotypicQuality	3.5-8.5	BacDive_pH_for_growth	4
kgmicrobe.trait:3_5_9_5	biolink:PhenotypicQuality	3.5-9.5	BacDive_pH_for_growth	4
kgmicrobe.trait:3_aminobutyrate	biolink:PhenotypicQuality	3-aminobutyrate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:40_70	biolink:PhenotypicQuality	40-70	BacDive_Temperature_for_growth	4
kgmicrobe.trait:43	biolink:PhenotypicQuality	43	BacDive_Temperature_for_growth	4
kgmicrobe.trait:45_60	biolink:PhenotypicQuality	45-60	BacDive_Temperature_for_growth	4
kgmicrobe.trait:4_0_35	biolink:PhenotypicQuality	4.0-35	BacDive_Temperature_for_growth	4
kgmicrobe.trait:4_1	biolink:PhenotypicQuality	4.1	BacDive_Cell_length	4
kgmicrobe.trait:4_12	biolink:PhenotypicQuality	4-12	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:4_5_10_0	biolink:PhenotypicQuality	4.5-10.0	BacDive_pH_for_growth	4
kgmicrobe.trait:4_5_5	biolink:PhenotypicQuality	4-5.5	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:4_5_7_2	biolink:PhenotypicQuality	4.5-7.2	BacDive_pH_for_growth	4
kgmicrobe.trait:4_6_days	biolink:PhenotypicQuality	4-6 days	BacDive_Incubation_period	4
kgmicrobe.trait:4_75	biolink:PhenotypicQuality	4.75	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:50_80	biolink:PhenotypicQuality	50-80	BacDive_Temperature_for_growth	4
kgmicrobe.trait:55_80	biolink:PhenotypicQuality	55-80	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_0_10	biolink:PhenotypicQuality	5.0-10	BacDive_Cell_length|BacDive_pH_for_growth	4
kgmicrobe.trait:5_0_10_5	biolink:PhenotypicQuality	5.0-10.5	BacDive_pH_for_growth	4
kgmicrobe.trait:5_0_11_5	biolink:PhenotypicQuality	5.0-11.5	BacDive_pH_for_growth	4
kgmicrobe.trait:5_0_20_0	biolink:PhenotypicQuality	5.0-20.0	BacDive_Cell_length|BacDive_Salt_concentration	4
kgmicrobe.trait:5_0_45_0	biolink:PhenotypicQuality	5.0-45.0	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_28	biolink:PhenotypicQuality	5-28	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_31	biolink:PhenotypicQuality	5-31	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_32	biolink:PhenotypicQuality	5-32	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_34	biolink:PhenotypicQuality	5-34	BacDive_Temperature_for_growth	4
kgmicrobe.trait:5_5_11_0	biolink:PhenotypicQuality	5.5-11.0	BacDive_pH_for_growth	4
kgmicrobe.trait:5_75	biolink:PhenotypicQuality	5.75	BacDive_Cell_length	4
kgmicrobe.trait:5_8_8_5	biolink:PhenotypicQuality	5.8-8.5	BacDive_pH_for_growth	4
kgmicrobe.trait:62	biolink:PhenotypicQuality	62	BacDive_Temperature_for_growth	4
kgmicrobe.trait:6_1_12_1	biolink:PhenotypicQuality	6.1-12.1	BacDive_pH_for_growth	4
kgmicrobe.trait:6_37	biolink:PhenotypicQuality	6-37	BacDive_Temperature_for_growth	4
kgmicrobe.trait:6_3_6_8	biolink:PhenotypicQuality	6.3-6.8	BacDive_pH_for_growth	4
kgmicrobe.trait:6_3_9_1	biolink:PhenotypicQuality	6.3-9.1	BacDive_pH_for_growth	4
kgmicrobe.trait:6_5_12	biolink:PhenotypicQuality	6.5-12	BacDive_pH_for_growth	4
kgmicrobe.trait:6_5_7	biolink:PhenotypicQuality	6.5-7	BacDive_pH_for_growth	4
kgmicrobe.trait:6_7_8	biolink:PhenotypicQuality	6-7.8	BacDive_pH_for_growth	4
kgmicrobe.trait:6_7_days	biolink:PhenotypicQuality	6-7 days	BacDive_Incubation_period	4
kgmicrobe.trait:7_0_10_5	biolink:PhenotypicQuality	7.0-10.5	BacDive_pH_for_growth	4
kgmicrobe.trait:7_0_7_5	biolink:PhenotypicQuality	7.0-7.5	BacDive_pH_for_growth	4
kgmicrobe.trait:7_0_8_5	biolink:PhenotypicQuality	7.0-8.5	BacDive_pH_for_growth	4
kgmicrobe.trait:7_14_days	biolink:PhenotypicQuality	7-14 days	BacDive_Incubation_period	4
kgmicrobe.trait:7_37	biolink:PhenotypicQuality	7-37	BacDive_Temperature_for_growth	4
kgmicrobe.trait:7_5_12	biolink:PhenotypicQuality	7.5-12	BacDive_pH_for_growth	4
kgmicrobe.trait:7_9_5	biolink:PhenotypicQuality	7-9.5	BacDive_pH_for_growth	4
kgmicrobe.trait:8_40	biolink:PhenotypicQuality	8-40	BacDive_Temperature_for_growth	4
kgmicrobe.trait:8_45	biolink:PhenotypicQuality	8-45	BacDive_Temperature_for_growth	4
kgmicrobe.trait:97	biolink:PhenotypicQuality	97	BacDive_Temperature_for_growth	4
kgmicrobe.trait:98	biolink:PhenotypicQuality	98	BacDive_Temperature_for_growth	4
kgmicrobe.trait:9_6	biolink:PhenotypicQuality	9.6	BacDive_pH_for_growth	4
kgmicrobe.trait:acetylene	biolink:PhenotypicQuality	acetylene	BacDive_Metabolite_utilization	4
kgmicrobe.trait:agarase	biolink:PhenotypicQuality	agarase	BacDive_Enzyme_activity	4
kgmicrobe.trait:ammonium_nitrate	biolink:PhenotypicQuality	ammonium nitrate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:amylose	biolink:PhenotypicQuality	amylose	BacDive_Metabolite_utilization	4
kgmicrobe.trait:beta_n_acetylgalactosaminidase	biolink:PhenotypicQuality	beta-N-acetylgalactosaminidase	BacDive_Enzyme_activity	4
kgmicrobe.trait:bis_4_nitrophenyl_phenyl_phosphonate	biolink:PhenotypicQuality	bis-4-nitrophenyl-phenyl phosphonate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:bladder	biolink:PhenotypicQuality	#Bladder	BacDive_Isolation_category_3	4
kgmicrobe.trait:carnitine	biolink:PhenotypicQuality	carnitine	BacDive_Metabolite_utilization	4
kgmicrobe.trait:cefprozil	biolink:PhenotypicQuality	cefprozil	BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:collagen	biolink:PhenotypicQuality	collagen	BacDive_Metabolite_utilization	4
kgmicrobe.trait:cyclodextrin	biolink:PhenotypicQuality	cyclodextrin	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	4
kgmicrobe.trait:defined_media	biolink:PhenotypicQuality	#Defined media	BacDive_Isolation_category_3	4
kgmicrobe.trait:ellipsoidal	biolink:PhenotypicQuality	ellipsoidal	BacDive_Cell_shape	4
kgmicrobe.trait:enoxacin	biolink:PhenotypicQuality	enoxacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:flask_shaped	biolink:PhenotypicQuality	flask-shaped	BacDive_Cell_shape	4
kgmicrobe.trait:fluorescein	biolink:PhenotypicQuality	fluorescein	BacDive_Metabolite_production	4
kgmicrobe.trait:gamma_cyclodextrin	biolink:PhenotypicQuality	gamma-cyclodextrin	BacDive_Metabolite_utilization	4
kgmicrobe.trait:glucuronate	biolink:PhenotypicQuality	glucuronate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:glutamyl_arylamidase_pna	biolink:PhenotypicQuality	glutamyl arylamidase pNA	BacDive_Enzyme_activity	4
kgmicrobe.trait:gramicidin_s	biolink:PhenotypicQuality	gramicidin s	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:l_fructose	biolink:PhenotypicQuality	L-fructose	BacDive_Metabolite_utilization	4
kgmicrobe.trait:lactulose	biolink:PhenotypicQuality	lactulose	BacDive_Metabolite_utilization	4
kgmicrobe.trait:lomefloxacin	biolink:PhenotypicQuality	lomefloxacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:lysostaphin	biolink:PhenotypicQuality	lysostaphin	BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:macrolide_antibiotic	biolink:PhenotypicQuality	macrolide antibiotic	BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:manganese	biolink:PhenotypicQuality	manganese	BacDive_Metabolite_utilization	4
kgmicrobe.trait:methylamine	biolink:PhenotypicQuality	methylamine	BacDive_Metabolite_utilization	4
kgmicrobe.trait:microaerotolerant	biolink:PhenotypicQuality	microaerotolerant	BacDive_Oxygen_tolerance	4
kgmicrobe.trait:nectar	biolink:PhenotypicQuality	#Nectar	BacDive_Isolation_category_3	4
kgmicrobe.trait:nicotinate	biolink:PhenotypicQuality	nicotinate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	4
kgmicrobe.trait:nife_hydrogenase	biolink:PhenotypicQuality	NiFe-hydrogenase	BacDive_Enzyme_activity	4
kgmicrobe.trait:oxolinate	biolink:PhenotypicQuality	oxolinate	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:phosphatidate_phosphatase	biolink:PhenotypicQuality	phosphatidate phosphatase	BacDive_Enzyme_activity	4
kgmicrobe.trait:polytrichous	biolink:PhenotypicQuality	polytrichous	BacDive_Flagellum_arrangement	4
kgmicrobe.trait:potassium_2_ketogluconate	biolink:PhenotypicQuality	Potassium 2-ketogluconate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:preserved	biolink:PhenotypicQuality	#Preserved	BacDive_Isolation_category_3	4
kgmicrobe.trait:protocatechuate	biolink:PhenotypicQuality	protocatechuate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:quinate	biolink:PhenotypicQuality	quinate	BacDive_Metabolite_utilization	4
kgmicrobe.trait:salinomycin	biolink:PhenotypicQuality	salinomycin	BacDive_Antibiotic_resistance	4
kgmicrobe.trait:sebacic_acid	biolink:PhenotypicQuality	sebacic acid	BacDive_Metabolite_utilization	4
kgmicrobe.trait:siderophore	biolink:PhenotypicQuality	siderophore	BacDive_Metabolite_production	4
kgmicrobe.trait:solid_animal_waste	biolink:PhenotypicQuality	#Solid animal waste	BacDive_Isolation_category_3	4
kgmicrobe.trait:sorbose	biolink:PhenotypicQuality	sorbose	BacDive_Metabolite_utilization	4
kgmicrobe.trait:tazobactam	biolink:PhenotypicQuality	tazobactam	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:ticarcillin	biolink:PhenotypicQuality	ticarcillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	4
kgmicrobe.trait:urocanic_acid	biolink:PhenotypicQuality	urocanic acid	BacDive_Metabolite_utilization	4
kgmicrobe.trait:yeast_extract_0_01	biolink:PhenotypicQuality	yeast extract (0.01 %	BacDive_Metabolite_utilization	4
kgmicrobe.compound:cyclopentanol_co2	biolink:ChemicalEntity	cyclopentanol+CO2	bergey:substrates	3
kgmicrobe.compound:glucose_acetate	biolink:ChemicalEntity	glucose + acetate	bergey:substrates	3
kgmicrobe.compound:h2_methanol	biolink:ChemicalEntity	H2+methanol	bergey:substrates	3
kgmicrobe.compound:pygs	biolink:ChemicalEntity	PYGS	bergey:substrates	3
kgmicrobe.compound:sucrose_yeast_extract	biolink:ChemicalEntity	sucrose + yeast extract	bergey:substrates	3
kgmicrobe.pathway:aerobic_nitrite_oxidation	biolink:BiologicalProcess	aerobic_nitrite_oxidation	faprotax:type_of_metabolism	3
kgmicrobe.pathway:nitrous_oxide_denitrification	biolink:BiologicalProcess	nitrous_oxide_denitrification	faprotax:type_of_metabolism	3
kgmicrobe.trait:02_09	biolink:PhenotypicQuality	02-09	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	3
kgmicrobe.trait:02_30	biolink:PhenotypicQuality	02-30	BacDive_Temperature_for_growth	3
kgmicrobe.trait:03_12	biolink:PhenotypicQuality	03-12	BacDive_Cell_length|BacDive_Salt_concentration	3
kgmicrobe.trait:04_20	biolink:PhenotypicQuality	04-20	BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:04_26	biolink:PhenotypicQuality	04-26	BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:04_55	biolink:PhenotypicQuality	04-55	BacDive_Temperature_for_growth	3
kgmicrobe.trait:05_41	biolink:PhenotypicQuality	05-41	BacDive_Temperature_for_growth	3
kgmicrobe.trait:05_42	biolink:PhenotypicQuality	05-42	BacDive_Temperature_for_growth	3
kgmicrobe.trait:06_37	biolink:PhenotypicQuality	06-37	BacDive_Temperature_for_growth	3
kgmicrobe.trait:07_37	biolink:PhenotypicQuality	07-37	BacDive_Temperature_for_growth	3
kgmicrobe.trait:07_45	biolink:PhenotypicQuality	07-45	BacDive_Temperature_for_growth	3
kgmicrobe.trait:08_35	biolink:PhenotypicQuality	08-35	BacDive_Temperature_for_growth	3
kgmicrobe.trait:08_44	biolink:PhenotypicQuality	08-44	BacDive_Temperature_for_growth	3
kgmicrobe.trait:09_30	biolink:PhenotypicQuality	09-30	BacDive_Salt_concentration	3
kgmicrobe.trait:0_0_10	biolink:PhenotypicQuality	0.0-10	BacDive_Salt_concentration	3
kgmicrobe.trait:0_0_7	biolink:PhenotypicQuality	0-0.7	BacDive_Salt_concentration	3
kgmicrobe.trait:0_12_5	biolink:PhenotypicQuality	0-12.5	BacDive_Salt_concentration	3
kgmicrobe.trait:0_19	biolink:PhenotypicQuality	0-19	BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_1_0_6	biolink:PhenotypicQuality	0.1-0.6	BacDive_Colony_size|BacDive_Salt_concentration	3
kgmicrobe.trait:0_1_1_0	biolink:PhenotypicQuality	0.1-1.0	BacDive_Colony_size|BacDive_Salt_concentration	3
kgmicrobe.trait:0_1_2	biolink:PhenotypicQuality	0.1-2	BacDive_Colony_size|BacDive_Salt_concentration	3
kgmicrobe.trait:0_1_2_0	biolink:PhenotypicQuality	0.1-2.0	BacDive_Salt_concentration	3
kgmicrobe.trait:0_20_0	biolink:PhenotypicQuality	0-20.0	BacDive_Salt_concentration	3
kgmicrobe.trait:0_21	biolink:PhenotypicQuality	0-21	BacDive_Cell_width|BacDive_Salt_concentration	3
kgmicrobe.trait:0_23	biolink:PhenotypicQuality	0-23	BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_24	biolink:PhenotypicQuality	0.24	BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_26	biolink:PhenotypicQuality	0-26	BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_27	biolink:PhenotypicQuality	0.27	BacDive_Cell_width|BacDive_Salt_concentration|BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_2_3_5	biolink:PhenotypicQuality	0.2-3.5	BacDive_Cell_length|BacDive_Salt_concentration	3
kgmicrobe.trait:0_32	biolink:PhenotypicQuality	0-32	BacDive_Temperature_for_growth	3
kgmicrobe.trait:0_35_0_4	biolink:PhenotypicQuality	0.35-0.4	BacDive_Cell_width	3
