placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.trait:2	biolink:PhenotypicQuality	2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Metabolite_production|BacDive_Metabolite_utilization|BacDive_Salt_concentration|BacDive_Temperature_for_growth	1299
kgmicrobe.trait:sediment	biolink:PhenotypicQuality	#Sediment	BacDive_Isolation_category_3	1275
kgmicrobe.trait:sucrose	biolink:PhenotypicQuality	sucrose	BacDive_Metabolite_utilization	1265
kgmicrobe.trait:8	biolink:PhenotypicQuality	8	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1230
kgmicrobe.trait:6	biolink:PhenotypicQuality	6	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1219
kgmicrobe.trait:0129_2	biolink:PhenotypicQuality	0129 (2	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212
kgmicrobe.trait:4_diamino_6	biolink:PhenotypicQuality	4-Diamino-6	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212
kgmicrobe.trait:7_di_iso_propylpteridine_phosphate	biolink:PhenotypicQuality	7-di-iso-propylpteridine phosphate)	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	1212
kgmicrobe.trait:lactose	biolink:PhenotypicQuality	lactose	BacDive_Metabolite_utilization	1209
kgmicrobe.trait:alpha_chymotrypsin	biolink:PhenotypicQuality	alpha-chymotrypsin	BacDive_Enzyme_activity	1196
kgmicrobe.trait:host_body_product	biolink:PhenotypicQuality	#Host Body Product	BacDive_Isolation_category_1	1182
kgmicrobe.trait:mannose	biolink:PhenotypicQuality	mannose	BacDive_Metabolite_utilization	1180
kgmicrobe.trait:mannitol	biolink:PhenotypicQuality	mannitol	BacDive_Metabolite_utilization	1116
kgmicrobe.trait:plant	biolink:PhenotypicQuality	#Plant	BacDive_Isolation_category_2	1102
kgmicrobe.trait:10_14_days	biolink:PhenotypicQuality	10-14 days	BacDive_Incubation_period	1081
kgmicrobe.trait:malate	biolink:PhenotypicQuality	malate	BacDive_Metabolite_utilization	1076
kgmicrobe.trait:d_ribose	biolink:PhenotypicQuality	D-ribose	BacDive_Metabolite_utilization	1069
kgmicrobe.trait:0_5	biolink:PhenotypicQuality	0-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	1053
kgmicrobe.trait:glycerol	biolink:PhenotypicQuality	glycerol	BacDive_Metabolite_utilization	1052
kgmicrobe.trait:crops	biolink:PhenotypicQuality	Crops)	BacDive_Isolation_category_3	1021
kgmicrobe.trait:herbaceous_plants_grass	biolink:PhenotypicQuality	#Herbaceous plants (Grass	BacDive_Isolation_category_3	1021
kgmicrobe.trait:coccus_shaped	biolink:PhenotypicQuality	coccus-shaped	BacDive_Cell_shape	999
kgmicrobe.trait:microaerophile	biolink:PhenotypicQuality	microaerophile	BacDive_Oxygen_tolerance	982
kgmicrobe.trait:arginine	biolink:PhenotypicQuality	arginine	BacDive_Metabolite_utilization	947
kgmicrobe.trait:2_days	biolink:PhenotypicQuality	2 days	BacDive_Incubation_period	944
kgmicrobe.trait:gluconate	biolink:PhenotypicQuality	gluconate	BacDive_Metabolite_utilization	936
kgmicrobe.trait:arginine_dihydrolase	biolink:PhenotypicQuality	arginine dihydrolase	BacDive_Enzyme_activity	934
kgmicrobe.trait:4	biolink:PhenotypicQuality	4	BacDive_Cell_length|BacDive_Colony_size|BacDive_Metabolite_utilization|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	926
kgmicrobe.trait:gastrointestinal_tract	biolink:PhenotypicQuality	#Gastrointestinal tract	BacDive_Isolation_category_2	917
kgmicrobe.trait:l_arabinose	biolink:PhenotypicQuality	L-arabinose	BacDive_Metabolite_utilization	911
kgmicrobe.trait:mammals	biolink:PhenotypicQuality	#Mammals	BacDive_Isolation_category_2	887
kgmicrobe.trait:human	biolink:PhenotypicQuality	#Human	BacDive_Isolation_category_2	879
kgmicrobe.trait:n_acetyl_beta_glucosaminidase	biolink:PhenotypicQuality	N-acetyl-beta-glucosaminidase	BacDive_Enzyme_activity	867
kgmicrobe.trait:n_acetylglucosamine	biolink:PhenotypicQuality	N-acetylglucosamine	BacDive_Metabolite_utilization	856
kgmicrobe.trait:d_xylose	biolink:PhenotypicQuality	D-xylose	BacDive_Metabolite_utilization	828
kgmicrobe.trait:oxidase	biolink:PhenotypicQuality	oxidase	BacDive_Enzyme_activity	805
kgmicrobe.pathway:animal_parasites_or_symbionts	biolink:BiologicalProcess	animal_parasites_or_symbionts	faprotax:type_of_metabolism	802
kgmicrobe.trait:arbutin	biolink:PhenotypicQuality	arbutin	BacDive_Metabolite_utilization	792
kgmicrobe.trait:infection	biolink:PhenotypicQuality	#Infection	BacDive_Isolation_category_1	768
kgmicrobe.trait:valine_arylamidase	biolink:PhenotypicQuality	valine arylamidase	BacDive_Enzyme_activity	765
kgmicrobe.trait:chloramphenicol	biolink:PhenotypicQuality	chloramphenicol	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	757
kgmicrobe.trait:ampicillin	biolink:PhenotypicQuality	ampicillin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	734
kgmicrobe.trait:alpha_mannosidase	biolink:PhenotypicQuality	alpha-mannosidase	BacDive_Enzyme_activity	733
kgmicrobe.trait:amygdalin	biolink:PhenotypicQuality	amygdalin	BacDive_Metabolite_utilization	720
kgmicrobe.trait:0_4	biolink:PhenotypicQuality	0.4	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	687
kgmicrobe.trait:3_days	biolink:PhenotypicQuality	3 days	BacDive_Incubation_period	671
kgmicrobe.trait:glycogen	biolink:PhenotypicQuality	glycogen	BacDive_Metabolite_utilization	662
kgmicrobe.trait:kanamycin	biolink:PhenotypicQuality	kanamycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	662
kgmicrobe.trait:raffinose	biolink:PhenotypicQuality	raffinose	BacDive_Metabolite_utilization	643
