label	occurrences	source_columns	already_in_mim
phenylacetate	77	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
4-hydroxyphenylacetic acid	75	BacDive_Metabolite_utilization	no
L-histidine	75	BacDive_Metabolite_utilization	yes
elemental sulfur	74	BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-alaninamide	73	BacDive_Metabolite_utilization	no
3-hydroxybenzoate	72	BacDive_Metabolite_utilization	no
galacturonate	72	BacDive_Metabolite_utilization	no
inosine	72	BacDive_Metabolite_utilization	yes
sulfide	71	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-tyrosine	70	BacDive_Metabolite_utilization	yes
L-asparagine	69	BacDive_Metabolite_utilization	yes
cefuroxime	68	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-glucose 6-phosphate	68	BacDive_Metabolite_utilization	no
doxycycline	68	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
melezitose	67	BacDive_Metabolite_utilization	no
cefalotin	66	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
casamino acids	65	BacDive_Metabolite_utilization	yes
hypoxanthine	65	BacDive_Metabolite_utilization	yes
L-aspartate	65	BacDive_Metabolite_utilization	no
ofloxacin	65	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
4-hydroxybutyrate	64	BacDive_Metabolite_utilization	no
cefoxitin	63	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
inulin	63	BacDive_Metabolite_utilization	yes
oxacillin	63	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
thiosulfate	63	BacDive_Metabolite_utilization	yes
cefoperazone	62	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
fusidate	61	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
cephalexin	60	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
chitin	60	BacDive_Metabolite_utilization	yes
minocycline	60	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
1 % sodium lactate	59	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
potassium gluconate	59	BacDive_Metabolite_utilization	no
3-O-methyl-D-glucose	58	BacDive_Metabolite_utilization	no
cis-aconitate	58	BacDive_Metabolite_utilization	no
glucosamine	55	BacDive_Metabolite_utilization	no
phenylalanine	55	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
4-nitrophenyl beta-D-galactopyranoside	54	BacDive_Enzyme_activity|BacDive_Metabolite_utilization	yes
L-serine	54	BacDive_Metabolite_utilization	yes
D-tryptophan	53	BacDive_Metabolite_utilization	yes
alginate	52	BacDive_Metabolite_utilization	no
spectinomycin	50	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
ribitol	49	BacDive_Metabolite_utilization	no
L-malate	48	BacDive_Metabolite_utilization	no
methyl alpha-D-glucopyranoside	48	BacDive_Metabolite_utilization	yes
nitrofurantoin	48	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
peptone	48	BacDive_Metabolite_utilization	yes
turanose	48	BacDive_Metabolite_utilization	no
Potassium 5-ketogluconate	47	BacDive_Metabolite_utilization	no
melanin	46	BacDive_Metabolite_production	no
yeast extract	46	BacDive_Metabolite_utilization	yes
erythritol	45	BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
valerate	45	BacDive_Metabolite_utilization	no
clarithromycin	43	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
imipenem	42	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
piperacillin	42	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
colistin	41	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
dihydrogen	41	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
methyl beta-D-glucopyranoside	41	BacDive_Metabolite_utilization	yes
oxytetracycline	41	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
butanol	39	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
galactitol	39	BacDive_Metabolite_utilization	no
gamma-aminobutyric acid	39	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
itaconate	39	BacDive_Metabolite_utilization	no
cephradine	38	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
potassium 5-dehydro-D-gluconate	38	BacDive_Metabolite_utilization	no
co-trimoxazole	37	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
pullulan	37	BacDive_Metabolite_utilization	yes
sodium citrate	37	BacDive_Metabolite_utilization	yes
tyrosine	37	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	yes
carbon dioxide	36	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
d-serine	36	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
lithium chloride	36	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
agar	35	BacDive_Metabolite_utilization	yes
creatine	35	BacDive_Metabolite_utilization	yes
D-malate	33	BacDive_Metabolite_utilization	no
L-lysine	33	BacDive_Metabolite_utilization	yes
