label	occurrences	source_columns	already_in_mim
L-proline 2-naphthylamide	1	BacDive_Metabolite_utilization	no
L-pyroglutamic acid 2-naphthylamide	1	BacDive_Metabolite_utilization	no
L-serine 2-naphthylamide	1	BacDive_Metabolite_utilization	no
L-tyrosine 2-naphthylamide	1	BacDive_Metabolite_utilization	no
lactone	1	BacDive_Metabolite_utilization	no
leupeptin	1	BacDive_Metabolite_production	no
lignin	1	BacDive_Metabolite_utilization	no
lomofungin	1	BacDive_Metabolite_production	no
lucimycin	1	BacDive_Metabolite_production	no
lydimycin	1	BacDive_Metabolite_production	yes
lysocellin	1	BacDive_Metabolite_production	no
maltitol	1	BacDive_Metabolite_utilization	yes
marinostatin	1	BacDive_Metabolite_production	no
matamycin	1	BacDive_Metabolite_production	no
medicamycin	1	BacDive_Antibiotic_sensitivity	no
menaquinone	1	BacDive_Antibiotic_sensitivity	no
methacycline	1	BacDive_Antibiotic_sensitivity	no
methyl beta-D-galactoside	1	BacDive_Metabolite_utilization	no
mycobacidin	1	BacDive_Metabolite_production	yes
n-acetyl-neuraminic acid	1	BacDive_Metabolite_utilization	no
n-acetylneuraminate	1	BacDive_Metabolite_utilization	no
N-acetyltyramine	1	BacDive_Metabolite_production	no
N'-disuccinic acid (EDDS)	1	BacDive_Metabolite_production	no
narbomycin	1	BacDive_Metabolite_production	no
neoantimycin	1	BacDive_Metabolite_production	no
neomycin E	1	BacDive_Metabolite_production	no
neomycin F	1	BacDive_Metabolite_production	no
netilmicin	1	BacDive_Antibiotic_sensitivity	no
netropsin	1	BacDive_Metabolite_production	no
niddamycin	1	BacDive_Metabolite_production	no
nisin	1	BacDive_Antibiotic_resistance	yes
nocamycin	1	BacDive_Metabolite_production	yes
nocardimicin G	1	BacDive_Metabolite_production	no
nocardimicin H	1	BacDive_Metabolite_production	no
nocardimicin I	1	BacDive_Metabolite_production	no
nogalamycin	1	BacDive_Metabolite_production	no
nojirimycin	1	BacDive_Metabolite_production	no
nucleocidin	1	BacDive_Metabolite_production	no
nutriacholic acid	1	BacDive_Metabolite_production	no
ossamycin	1	BacDive_Metabolite_production	no
oxamicetin	1	BacDive_Metabolite_production	no
pactamycin	1	BacDive_Metabolite_production	yes
palatinose	1	BacDive_Metabolite_utilization	no
pamamycin	1	BacDive_Metabolite_production	yes
pefloxacin	1	BacDive_Antibiotic_sensitivity	no
peptone (0.01 %	1	BacDive_Metabolite_utilization	no
phenanthrene	1	BacDive_Metabolite_utilization	no
phenoxymethylpenicillin	1	BacDive_Antibiotic_resistance	no
phoslactomycin	1	BacDive_Metabolite_production	yes
phosphocholine	1	BacDive_Metabolite_utilization	no
piperidin-2-one	1	BacDive_Metabolite_production	no
poly-beta-hydroxyalkanoate	1	BacDive_Metabolite_production	no
poly(ethylene terephthalate)	1	BacDive_Metabolite_utilization	no
polygalacturonic acid	1	BacDive_Metabolite_production	yes
porfiromycin	1	BacDive_Metabolite_production	no
porphyrin	1	BacDive_Metabolite_production	no
potassium	1	BacDive_Metabolite_utilization	no
pradimicin	1	BacDive_Metabolite_production	no
pravastatin	1	BacDive_Antibiotic_resistance	no
pristinamycin	1	BacDive_Antibiotic_resistance	no
proteose	1	BacDive_Metabolite_utilization	no
psicofuranine	1	BacDive_Metabolite_production	no
pyrene	1	BacDive_Metabolite_utilization	no
pyridomycin	1	BacDive_Metabolite_production	no
pyrrolidin-2-one	1	BacDive_Metabolite_production	no
pyrrolomycin A	1	BacDive_Metabolite_production	no
pyrrolomycin B	1	BacDive_Metabolite_production	no
resistomycin	1	BacDive_Metabolite_production	no
rhodomycin A	1	BacDive_Metabolite_production	yes
rhodomycin B	1	BacDive_Metabolite_production	no
rifamycin b	1	BacDive_Antibiotic_sensitivity	no
rifamycin O	1	BacDive_Metabolite_production	no
ristocetin A	1	BacDive_Metabolite_production	no
ristocetin B	1	BacDive_Metabolite_production	yes
rna	1	BacDive_Metabolite_utilization	no
rosaramicin	1	BacDive_Metabolite_production	no
roseoflavin	1	BacDive_Metabolite_production	yes
rubrolone	1	BacDive_Metabolite_production	no
(S)-azetidine-2-carboxylic acid	1	BacDive_Metabolite_production	no
sandramycin	1	BacDive_Metabolite_production	no
sarcidin	1	BacDive_Metabolite_production	yes
serum	1	BacDive_Metabolite_utilization	yes
showdomycin	1	BacDive_Metabolite_production	no
simvastatin	1	BacDive_Antibiotic_resistance	yes
sodium(+)	1	BacDive_Metabolite_utilization	no
sodium dodecyl sulfate	1	BacDive_Antibiotic_sensitivity	yes
sodium malonate	1	BacDive_Metabolite_utilization	no
spinosyn	1	BacDive_Metabolite_production	no
staurosporine	1	BacDive_Metabolite_production	no
sterol	1	BacDive_Metabolite_utilization	no
streptolydigin	1	BacDive_Metabolite_production	no
streptovaricin	1	BacDive_Metabolite_production	no
sulfadimethoxine	1	BacDive_Antibiotic_resistance	no
sulfamonomethoxine	1	BacDive_Antibiotic_resistance	yes
sulfanilamide	1	BacDive_Antibiotic_resistance	yes
synanthrin	1	BacDive_Metabolite_utilization	no
synthetic sea salts (sss)	1	BacDive_Metabolite_utilization	no
tagatose	1	BacDive_Metabolite_utilization	no
taurine	1	BacDive_Metabolite_utilization	yes
taurocholate	1	BacDive_Metabolite_production	no
tellurite	1	BacDive_Metabolite_utilization	no
terephthalate	1	BacDive_Metabolite_utilization	no
tertiomycin A	1	BacDive_Metabolite_production	yes
tertiomycin B	1	BacDive_Metabolite_production	yes
tetrabromopyrrole	1	BacDive_Metabolite_production	no
tetraphene	1	BacDive_Metabolite_utilization	no
tetrodotoxin	1	BacDive_Metabolite_production	no
texazone	1	BacDive_Metabolite_production	no
tigecycline	1	BacDive_Antibiotic_sensitivity	no
toyocamycin	1	BacDive_Metabolite_production	no
trans-styrylacetic acid	1	BacDive_Metabolite_production	yes
trimethoxybenzoate	1	BacDive_Metabolite_utilization	no
trimethylamine n-oxide	1	BacDive_Metabolite_utilization	no
tryptone/yeast/beef (tyb)	1	BacDive_Metabolite_utilization	no
tubelactomicin A	1	BacDive_Metabolite_production	no
tubercidin	1	BacDive_Metabolite_production	no
tunicamycin	1	BacDive_Antibiotic_sensitivity	yes
valine	1	BacDive_Metabolite_production	yes
vancoresmycin	1	BacDive_Metabolite_production	no
viomycin	1	BacDive_Metabolite_production	no
virginiamycin	1	BacDive_Antibiotic_resistance	no
vitamin B12	1	BacDive_Metabolite_production	yes
xanthan	1	BacDive_Metabolite_utilization	no
